IEA	IEA国名	旧名称 MATCH 	CC	AIM23	AIM17	コード付与作業メモ
ALBANIA	Albania	Albania	ALB	XRW	XER	
ALGERIA	Algeria	Algeria	DZA	XAF	XNF	
ANGOLA	Angola	Angola	AGO	XAF	XAF	
ARGENTINA	Argentina	Argentina	ARG	ARG	XLM	
ARMENIA	Armenia	Armenia	ARM	XRW	CIS	
AUSTRALI	Australia	Australia	AUS	AUS	XOC	
AUSTRIA	Austria	Austria	AUT	XE15	XE25	
AZERBAIJAN	Azerbaijan	Azerbaijan	AZE	XRW	CIS	
BAHRAIN	Bahrain	Bahrain	BHR	XME	XME	
BANGLADESH	Bangladesh	Bangladesh	BGD	XSA	XSA	
BELARUS	Belarus	Belarus	BLR	XRW	CIS	
BELGIUM	Belgium	Belgium	BEL	XE15	XE25	
BENIN	Benin	Benin	BEN	XAF	XAF	
VENEZUELA	Bolivarian Republic of Venezuela	Venezuela	VEN	XLM	XLM	
BOSNIAHERZ	Bosnia and Herzegovina	Bosnia and Herzegovina	BIH	XRW	XER	
BOTSWANA	Botswana	Botswana	BWA	XAF	XAF	
BRAZIL	Brazil	Brazil	BRA	BRA	BRA	
BRUNEI	Brunei Darussalam	Brunei Darussalam	BRN	XSE	XSA	旧AIM23コードから変更
BULGARIA	Bulgaria	Bulgaria	BGR	XRW	XER	
CAMBODIA	Cambodia	Cambodia	KHM	XSE	XSE	
CAMEROON	Cameroon	Cameroon	CMR	XAF	XAF	
CANADA	Canada	Canada	CAN	CAN	CAN	
CHILE	Chile	Chile	CHL	XLM	XLM	
TAIPEI	Chinese Taipei	Taiwan	TWN	XRW	XSE	
COLOMBIA	Colombia	Colombia	COL	XLM	XLM	
COSTARICA	Costa Rica	Costa Rica	CRI	XLM	XLM	
CROATIA	Croatia	Croatia	HRV	XRW	XER	
CUBA	Cuba	Cuba	CUB	XLM	XLM	
CURACAO	Cura軋o/Netherlands Antilles	Netherlands Antilles	ANT	XLM	XLM	オランダ領アンタイル（旧称キュラソー植民地）は2010年に解体、解体後もオランダ領との位置づけ
CYPRUS	Cyprus	Cyprus	CYP	XE10	XE25	
CZECH	Czech Republic	Czech Republic	CZE	XE10	XE25	
COTEIVOIRE	Ce d'Ivoire	C?te d'Ivoire	CIV	XAF	XAF	
KOREADPR	Democratic People's Republic of Korea	Democratic People's Republic of Korea	PRK	XRW	XSE	
CONGOREP	Democratic Republic of the Congo	Democratic Republic of the Congo	COD	XAF	XAF	
DENMARK	Denmark	Denmark	DNK	XE15	XE25	
DOMINICANR	Dominican Republic	Dominican Republic	DOM	XLM	XLM	
ECUADOR	Ecuador	Ecuador	ECU	XLM	XLM	
EGYPT	Egypt	Egypt	EGY	XAF	XNF	
ELSALVADOR	El Salvador	El Salvador	SLV	XLM	XLM	
EQGUINEA	Equatorial Guinea	Equatorial Guinea	GNQ	XAF	XAF	
ERITREA	Eritrea	Eritrea	ERI	XAF	XAF	
ESTONIA	Estonia	Estonia	EST	XE10	XE25	
ETHIOPIA	Ethiopia	Ethiopia	ETH	XAF	XAF	
