TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,5229563,5306278,5506840,5536178,5648065,5876626,6060478,6218650,6492286,6600152,6658140,6693538,6865914,7173882,7392017,7467590,7783603,8044769,8141681,8288395,8242977,8126429,8148111,8162417,8504908,8580550,8618504,8638523,8466624,8936952,9176263,9367314,10086318,10748352,11447320,12089916,12771970,12925943,12922733,13828288,14584103,14713646,15019919,14988641,14607002,14342689,14506264,14765932,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1180040,1240714,1312952,1304495,1295494,1383765,1437468,1423641,1508985,1527778,1609143,1546408,1634863,1731566,1779535,1736159,1816991,1908784,1928724,1958278,1946813,1953346,1998633,2010514,2069966,2155376,2254084,2240434,2223534,2335939,2336401,2255034,2303063,2319769,2348853,2321309,2351515,2297512,2018219,2145930,2036494,1803349,1860809,1847633,1617173,1503067,1474247,1403503,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,303007,313261,326400,333359,334676,336471,336147,311110,333750,359529,380816,399066,396396,439390,469826,463620,470904,502612,509689,540744,548802,546449,562264,579786,601037,635458,657631,655146,678092,746860,779288,790184,809357,839695,846520,856606,882376,889679,896058,942965,943479,955992,958936,954017,967805,953326,958578,940393,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,1717134,1642523,1678791,1656040,1576566,1663434,1663052,1686821,1780118,1796021,1771359,1780361,1785230,1786446,1872460,1857182,1877498,1842592,1825617,1744753,1684179,1573616,1483471,1457629,1437940,1447181,1385690,1341046,1269341,1313576,1299468,1295887,1345176,1330379,1297003,1336630,1358244,1253363,1127689,1184178,1196338,1247124,1205880,1141518,1117884,1048625,1029703,997919,..
Africa,..,..,..,..,..,..,..,..,..,..,..,143677,147067,160555,168252,183522,198598,198131,173864,180404,189923,200073,197669,189101,199326,205045,204629,221763,218077,221240,229200,226226,223585,230315,232076,240428,250302,262272,272313,254564,263661,301533,310525,327321,352267,348298,348435,361435,389726,366331,387223,365513,384365,391604,412901,390343,396746,403217,411347,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,17740,17633,18370,19724,19492,20494,23007,26805,27737,28952,30943,33304,34593,38998,43069,45109,48841,48736,50132,47328,50795,49947,52190,52509,53245,52471,55672,54915,56556,68179,66505,65906,67916,70806,69544,70068,74265,74929,65908,80927,86267,86733,98345,103266,103825,96367,94910,96914,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,456,692,1170,1249,2173,2144,2164,1362,1912,2013,1717,2266,2135,1681,1657,1626,1602,1662,1220,1218,1700,1499,2286,2331,2348,2587,2600,2920,3608,3947,3826,4160,4492,4775,5848,6308,6017,5661,4548,6332,5855,10250,12638,14745,13197,13771,15226,14819,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,988974,1032374,1085949,1118532,1157931,1172292,1171579,1239083,1250802,1273433,1206261,1185957,1177586,1170444,1167941,1190775,1240281,1264908,1259781,1366596,1252281,1163612,1035714,919137,895102,847293,756121,742565,738808,762124,764286,765273,804303,784182,771645,823778,830893,865608,760974,809199,867300,873036,840582,778184,775396,776358,746925,774234,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,218919,221296,221552,240725,259856,277000,284869,279158,303058,321055,347322,372270,398746,427529,455156,490965,515675,540614,565315,585337,625479,636541,652883,673238,708207,735884,779258,777185,836598,893299,935816,964329,1018362,1095917,1165385,1247554,1368361,1445881,1536441,1672007,1769948,1887891,1916339,2111773,2132125,2170488,2313573,2489569,..
