TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,2043236,2153126,2232532,2285499,2249818,2370199,2430222,2509015,2654212,2709583,2743867,2748953,2777558,2983589,3071482,3113767,3289467,3430551,3606272,3673929,3795437,3777869,3846341,3870658,3979625,4147904,4212539,4270788,4414011,4560196,4622311,4783443,4962261,5096819,5210244,5356672,5568688,5722816,5563974,6037955,6122665,6239316,6325436,6321728,6426998,6591869,6759322,7104375,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1284996,1308388,1305605,1268418,1175068,1197480,1181689,1187706,1234622,1223860,1198856,1130658,1067721,1136413,1109990,1043168,1093695,1152727,1201168,1163289,1186025,1221061,1264530,1296681,1344810,1380105,1423019,1409960,1420432,1485426,1429440,1486760,1476777,1483059,1467324,1459971,1548310,1556164,1525465,1602310,1642759,1708520,1738397,1772656,1824131,1831142,1807228,1995166,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,12854,15049,21342,25926,28573,34528,42724,54022,61479,69645,73771,78108,81711,103150,110980,114204,122052,129026,136114,156829,164848,170257,176710,187880,197990,211332,223040,225309,243621,255353,261984,274987,276748,287592,291331,314641,344670,344740,343310,376531,417366,433546,446587,440987,423635,438070,440905,441242,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,187456,241232,284574,331710,351279,387460,405593,420074,449653,443145,436996,428249,443839,462920,481411,493029,522460,518400,538640,575291,617558,612570,641138,654504,702605,779802,784809,813720,857840,878015,909680,917142,962696,990353,1020366,1018740,1018032,1047255,989579,1070450,978624,956892,941029,854997,888253,943749,981410,962373,..
Africa,..,..,..,..,..,..,..,..,..,..,..,5256,6291,7041,7760,9030,9678,11319,15524,19865,25565,28629,33817,39390,39861,44288,50331,51505,55553,60446,58786,62777,64956,70055,71882,74456,77251,83223,85839,93338,98045,112551,116995,131145,131872,153351,162832,172915,176210,172565,184181,206003,217094,214354,220779,229994,236848,263518,275149,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,34832,38596,42087,44568,44384,47057,50428,50551,56418,60722,63067,67793,71679,78249,79789,84123,85869,91765,98667,99020,102234,104352,110410,114219,122330,138178,143687,153545,153116,164554,167456,172996,188344,202472,214232,216528,217223,233263,223853,243865,246270,264082,279297,290829,292605,280672,281738,277128,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,25756,28407,33761,34629,38221,41597,46464,49028,63036,66982,70303,75676,76797,88976,96017,105659,118113,131244,154571,153302,163839,180150,198699,225995,240492,248419,266964,282723,304580,319649,343588,372923,397601,435596,470272,512024,552646,603494,621854,676680,702534,728754,740777,785244,841871,878362,911842,923008,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,475935,496408,515417,544755,571753,617285,651339,686690,719790,767131,820301,881418,939543,1010587,1086477,1154928,1217067,1269577,1329981,1358664,1368643,1284079,1227534,1143733,1099678,1101207,1048293,1040115,1064390,1073217,1082708,1099303,1148654,1153778,1156420,1182175,1194633,1206019,1104770,1201002,1235045,1206392,1194381,1139669,1078783,1093563,1126358,1173006,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,8740,9172,10875,12844,14015,15146,16717,18343,20698,24252,26696,29494,32539,38187,45910,50603,60094,63760,66902,88174,108762,118629,131194,150778,169250,180676,202160,223592,237413,243042,265622,292123,322930,341797,358957,388913,396857,413615,424938,450292,454980,459781,465390,481810,491959,503038,498056,531157,..
