TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,..,..,..,..,..,..,..,..,..,..,..,6671820,7159418,7718158,7601332,7582972,8056524,8365915,8629223,8727905,8390914,8067314,7837492,7744428,7812662,7775225,7981974,8119007,8368783,8470233,8509968,8546040,8602289,8631666,8688786,8805331,9019570,9303764,9403055,9559842,9640857,9689218,9665702,9806665,10180502,10314174,10379510,10532819,10439795,10172915,10553972,10573268,10668720,10838306,10888537,11141080,11228207,11354410,11415058,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,2279016,2463883,2585825,2500407,2414053,2587891,2737044,2752517,2678472,2492422,2369537,2278435,2213797,2264026,2279447,2344570,2388929,2480310,2508962,2357304,2309940,2352271,2387744,2454624,2394645,2467211,2626066,2735019,2755954,2779364,2805201,2697651,2764480,2832158,2865269,2802122,2811201,2672015,2548763,2614970,2492965,2438692,2494651,2465367,2538491,2556389,2544740,2600997,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,658706,693707,808432,804179,776697,808421,852912,865888,876645,809097,766642,726620,728556,744465,704116,715354,725386,787601,827155,899415,920604,955429,959246,1016469,1036868,1039350,1026979,950184,985362,984519,957769,968552,960534,948853,942215,899724,904209,843899,797273,812742,841525,860029,833502,783171,774317,766653,749677,723700,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,1719556,1840664,1964829,1850314,1800035,1911770,1886128,1960267,1988082,1855624,1704937,1610879,1555171,1559105,1523726,1560101,1556849,1562940,1563710,1616036,1661784,1671913,1671835,1660940,1679223,1726145,1707764,1734697,1723348,1687551,1712850,1698281,1712160,1709118,1696434,1683236,1626999,1615152,1533376,1510670,1453973,1411941,1387905,1366121,1408474,1425504,1448615,1428072,..
Africa,..,..,..,..,..,..,..,..,..,..,..,100279,110645,118156,123672,132058,144358,153437,163571,169567,182577,193155,199674,208891,214082,216357,215852,226190,236542,240601,242727,247295,256865,253798,250753,264348,273838,288684,292687,303149,301680,312291,325126,328987,353387,366584,374447,386642,412476,429229,453456,452575,483985,518963,538807,545513,540671,536862,557961,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,286187,297417,328964,339778,343425,364590,377771,396609,414798,415199,399653,389936,378839,370191,361031,382600,396649,404152,405637,401435,402819,414924,424229,438751,467524,497418,528408,542833,543516,541935,550645,545639,529779,556298,566732,585080,610034,626231,619608,667927,691893,724245,740886,751439,724052,701272,682683,660458,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,70141,76974,88827,100576,114448,131721,153454,177735,212008,233978,254442,284191,324870,321758,339185,337041,358479,372978,386083,381159,385314,434859,462086,501696,500796,521554,544634,525020,534174,556578,586368,596137,602101,628882,672154,701307,725188,758629,802477,809525,831629,872570,904972,927905,893415,870498,853662,835105,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,723387,778707,858368,925219,1045108,1091376,1132205,1178096,1221269,1252184,1263828,1262809,1251427,1231519,1211520,1211872,1206839,1179160,1134301,1164008,1123753,929766,796971,637991,602077,556027,548354,546942,508509,512239,510257,503384,507284,506470,504240,523155,530532,544153,510633,504140,542384,540130,537365,541600,544699,536626,547664,527773,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,189992,208015,226000,227736,238272,249890,272626,300709,322948,341914,344050,345585,358376,367306,373627,389661,413807,449355,487438,530388,546627,574170,620794,658016,730038,776163,811775,812370,854949,874137,871940,883344,886710,937308,933113,942817,990462,999168,1009504,1042969,1095254,1142700,1162149,1210669,1264322,1307140,1371068,1394908,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,122483,140719,160859,184049,204364,241541,259463,283364,276278,248706,236679,230601,232955,236945,234387,251437,261707,281210,287986,286640,309653,336874,387496,375766,412144,422282,456000,474176,520562,547772,558981,585621,647221,761876,776633,824052,854978,866329,873555,1018184,1036515,1106002,1162848,1171289,1263456,1298478,1338791,1374696,..
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,352640,369313,390761,365428,340423,350459,350599,353080,363696,356218,332112,299210,280129,283921,306441,325836,322359,337886,337695,371302,385999,414671,401902,414565,427814,437873,448585,462039,489196,502110,476372,494702,502378,551833,571531,608824,645288,646608,615079,661978,662197,616134,614752,635652,660046,678059,701380,707816,..
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,169433,179373,187136,179974,174090,174506,190277,197386,204142,202994,202280,209551,211415,219345,225389,247649,261816,276647,290665,259555,252252,260547,265565,279215,289854,301710,316515,327089,341123,352973,346545,367265,365031,394318,419267,434745,447287,455134,433419,457409,472358,472294,480314,496519,524295,546916,579268,603572,..
Albania,..,..,..,..,..,..,..,..,..,..,..,2394,2832,2117,2222,2157,2364,2540,2709,3185,3533,2416,2336,2646,2940,2423,2495,2622,2477,2441,2757,2100,1559,1627,1764,1717,1706,1353,1679,2777,2994,3127,3661,3733,3924,3750,3718,3688,3622,3335,3447,3542,3136,3336,3714,3374,3384,3787,3330,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,5831,6217,7062,7584,8579,10067,11126,11740,13498,14058,15226,16143,16897,17989,19228,19409,19655,19574,20109,23686,25165,25044,25324,23351,22693,22574,22603,22761,24288,24919,25747,29077,28765,30468,31417,32524,35191,37967,42012,43569,46419,49972,52178,54211,57608,55711,54574,55811,..
Angola,..,..,..,..,..,..,..,..,..,..,..,1533,2293,2071,2120,1828,1828,1367,2437,2401,2507,2346,2021,2119,2001,2590,2519,2546,2907,2977,2886,2901,2797,3151,3106,2839,3117,3240,2621,3669,3540,4016,4352,5818,6277,4900,6948,8059,10513,12548,13732,14705,14992,18503,20319,20055,19923,17264,17152,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,66738,66415,69112,67645,63992,66944,70296,69499,73053,69156,66328,63279,63207,60664,53117,56878,61452,58902,52268,49970,54474,55771,56147,55056,53457,58382,59646,61045,56893,53001,49005,44718,47302,53622,53079,59299,66965,70207,63030,72275,75258,74889,77208,73396,77637,76462,71135,67903,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10492,11905,6887,3390,953,677,372,397,410,592,791,778,820,942,926,985,925,932,1040,960,1013,950,905,858,899,824,839,877,831,..
Australia,34190,36432,37424,42186,43828,46243,49503,53320,58017,60633,62367,64118,63298,69063,77805,77968,79211,83703,85629,86164,83796,80783,80229,75400,77488,76987,76807,78242,80507,83726,85478,83725,83372,84883,87118,90396,93722,94496,95341,96887,99858,98897,100509,105512,108683,109122,110284,111869,115787,114052,119908,125997,127799,133390,131780,131865,131945,134752,137980,..
Austria,8213,8966,10700,12344,14100,14976,15939,17375,20062,21806,23762,26896,29153,31964,27975,28500,30988,30634,32129,33210,31931,28518,27576,26297,24708,25368,26443,26712,25895,25568,27199,29654,28474,29878,29248,29493,32258,31352,33305,31360,30747,32986,34256,36674,37001,37753,36335,34747,33873,31928,32783,31039,29879,30669,29659,30131,30512,31288,31081,..
