TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,13945792,14620499,15459169,15427722,15486108,16308729,16862582,17362844,17880542,17707179,17475768,17287711,17396129,17979287,18248110,18574889,19203419,19857347,20234031,20516043,20640479,20580820,20698467,20798570,21372500,21824551,22218764,22394399,22531847,23241215,23591435,23926826,24959571,26133448,27077992,27942292,28989298,29209368,28792055,30582363,31459470,31805959,32370661,32388573,32365538,32374687,32837420,33513253,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,4744051,5012986,5204382,5073319,4884615,5169137,5356202,5363864,5422078,5244061,5177535,4955501,4916382,5132006,5168978,5123903,5299621,5541827,5638861,5498733,5472911,5561511,5682902,5796304,5840855,6030998,6334955,6415104,6436124,6641690,6605604,6475467,6580231,6664354,6708969,6614545,6743280,6553465,6122601,6387389,6198609,5976938,6116992,6108459,6001407,5911835,5846511,6020526,5887459
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,974567,1022017,1156174,1163465,1139945,1179420,1231783,1231021,1271874,1238271,1221229,1204021,1206940,1287350,1285307,1294489,1319771,1420876,1474681,1599932,1637577,1676136,1702783,1788569,1841938,1893091,1915848,1839323,1916627,1998163,2010303,2049640,2063446,2094438,2097166,2089547,2150992,2102099,2062987,2164723,2239728,2288805,2279902,2215563,2205143,2208565,2205234,2160492,2136545
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,3625319,3726097,3929833,3842777,3733132,3968045,3960740,4073116,4223991,4101319,3919740,3826989,3792193,3817281,3886594,3920419,3966579,3935399,3941949,3956890,3985703,3881374,3821295,3799968,3848511,3983903,3909519,3920095,3879954,3909972,3957825,3947512,4053023,4064210,4050288,4077811,4044582,3961634,3701019,3818915,3687802,3675573,3594798,3426118,3479894,3489428,3529624,3464348,3307648
Africa,..,..,..,..,..,..,..,..,..,..,..,249211,264003,285752,299684,324609,352634,362887,352959,369836,398065,421857,431160,437382,453268,465690,470813,499459,510172,522288,530713,536297,545406,554168,554710,579231,601390,634180,650838,651050,663385,726375,752646,787453,837825,868545,886055,921370,978830,968555,1025294,1024566,1085914,1125369,1172915,1166283,1174696,1204028,1244887,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,338759,353647,389421,404071,407301,432142,451206,473966,498953,504873,493663,491033,485111,487438,483889,511832,531359,544653,554436,547782,555849,569224,586829,605479,643099,688068,727767,751293,753188,774667,784605,784542,786039,829575,850508,871677,901521,934423,909369,992719,1024430,1075060,1118528,1145534,1120481,1078311,1059332,1034500,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,96352,106073,123758,136454,154842,175462,202082,228125,276956,302973,326462,362133,403802,412415,436859,444325,478194,505883,541874,535678,550852,616508,663070,730022,743636,772560,814198,810663,842362,880174,933783,973220,1004194,1069253,1148273,1219639,1283851,1367785,1428879,1492537,1540018,1611574,1658387,1727894,1748483,1762630,1780729,1772932,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,2188296,2307489,2459734,2588507,2774791,2880953,2955123,3103870,3191861,3292748,3290390,3330184,3368555,3412551,3465938,3557575,3664187,3713645,3724063,3889267,3744677,3389195,3070772,2711370,2612887,2514634,2364950,2341906,2327013,2366326,2377226,2388163,2476353,2467020,2453821,2552605,2574466,2634846,2397572,2538782,2669554,2644868,2598150,2486148,2428296,2438764,2452980,2511761,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,417651,438482,458427,481305,512143,542035,574212,598209,646703,687221,718069,747350,789661,833022,874693,931364,989710,1053863,1119789,1204034,1281255,1329728,1405260,1482421,1607883,1693112,1793730,1813892,1929844,2011719,2075393,2141819,2230510,2377885,2460773,2582715,2759418,2862574,2974816,3169650,3324909,3495288,3549036,3809533,3893882,3986120,4188545,4421401,..
