TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,19223.53,20267.69,21605.41,22069.98,22242.95,23407.43,24358.09,25342.19,26357.40,26812.01,27285.51,27367.46,28097.04,29359.26,30386.63,31428.16,32570.08,33994.12,35171.11,36018.87,36507.06,37296.20,37970.40,39201.80,40415.30,41830.20,43464.62,44698.43,46232.86,48282.98,49294.30,50391.57,51923.74,54288.84,56515.17,59094.40,61697.28,62937.72,62118.01,64867.11,67048.42,68884.94,70841.95,72976.68,75163.49,77093.92,79593.73,81989.07,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,6154.44,6486.02,6862.52,6869.20,6880.61,7249.15,7574.13,7993.61,8278.51,8317.74,8568.42,8406.09,8724.82,9327.93,9714.74,10001.15,10344.90,10764.41,11155.28,11370.43,11373.04,11758.36,12090.15,12589.18,12869.93,13359.03,13972.24,14597.55,15272.91,15923.23,16082.20,16363.76,16808.44,17444.24,18045.59,18579.09,18939.80,18949.44,18437.23,18947.90,19294.65,19742.82,20113.30,20627.82,21195.77,21548.10,22065.37,22689.31,23173.09
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,2006.06,2154.72,2318.47,2317.99,2389.07,2487.84,2585.17,2720.87,2863.24,2936.82,3062.59,3145.69,3278.75,3439.45,3615.66,3746.79,3950.01,4210.90,4408.14,4610.81,4779.86,4870.53,4918.73,5038.97,5229.46,5427.80,5548.68,5511.20,5617.37,5821.62,5913.12,6013.14,6144.39,6323.06,6471.69,6636.33,6823.10,6835.37,6641.82,6931.23,7031.93,7165.09,7336.39,7439.32,7580.16,7694.44,7893.87,7991.39,8093.36
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,6906.34,7231.15,7656.84,7831.61,7782.18,8119.54,8349.34,8602.96,8904.52,9041.28,9062.28,9139.73,9321.72,9572.18,9839.79,10114.19,10419.89,10849.59,11229.01,11618.43,11763.26,11899.18,11914.54,12223.04,12548.79,12811.32,13210.42,13625.04,14010.94,14556.94,14849.47,15050.55,15252.35,15668.03,16036.70,16588.57,17100.40,17177.16,16454.37,16860.51,17222.42,17215.61,17340.88,17677.81,18114.49,18479.39,18984.26,19368.23,19639.16
Africa,..,..,..,..,..,..,..,..,..,..,..,551.88,568.34,590.85,620.11,627.11,667.51,692.86,701.73,735.46,762.95,752.75,759.77,752.99,774.86,795.88,809.66,826.15,862.11,887.98,912.70,924.34,929.91,922.94,939.41,962.84,1014.52,1049.11,1084.14,1114.71,1158.32,1205.69,1270.63,1330.13,1408.86,1493.34,1583.68,1686.00,1778.22,1839.22,1939.24,1980.11,2098.75,2186.64,2271.55,2342.76,2385.98,2460.99,2533.42,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1217.02,1287.97,1394.75,1476.11,1526.13,1619.26,1705.43,1742.60,1834.03,1900.85,1867.45,1860.93,1825.46,1888.87,1944.27,2071.01,2147.70,2173.89,2152.06,2144.52,2229.33,2289.38,2377.26,2466.91,2547.89,2609.28,2738.54,2778.50,2745.85,2831.39,2864.38,2831.64,2861.34,3090.08,3259.21,3455.70,3689.96,3864.12,3809.98,4014.18,4196.52,4306.76,4431.72,4435.21,4374.19,4213.19,4185.07,4127.42,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,478.14,552.00,636.52,695.04,663.87,764.77,792.66,750.99,793.86,778.30,778.31,731.13,697.33,685.90,667.86,673.00,672.45,685.08,708.79,801.16,821.27,881.96,910.82,930.21,955.78,996.94,1037.39,1085.00,1094.35,1159.78,1169.97,1185.67,1251.60,1373.18,1443.27,1535.19,1610.94,1688.60,1687.12,1775.66,1880.80,1937.41,1998.11,2064.12,2104.94,2209.58,2214.04,2222.79,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,1048.52,1100.50,1194.84,1271.35,1324.18,1410.31,1486.38,1561.44,1617.85,1649.75,1682.62,1729.61,1783.23,1815.56,1833.51,1905.34,1928.67,1959.02,1999.27,1795.95,1678.34,1460.76,1341.80,1195.10,1155.95,1133.57,1147.00,1115.87,1161.25,1259.69,1331.46,1400.39,1495.80,1612.58,1722.97,1867.46,2025.54,2137.67,2010.61,2087.75,2176.20,2245.20,2300.12,2329.94,2311.04,2342.71,2406.22,2477.36,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,583.89,597.20,636.92,667.57,703.83,741.99,797.02,852.48,880.79,938.78,997.85,1039.58,1101.15,1154.24,1191.08,1251.33,1323.02,1427.16,1526.36,1617.59,1688.09,1789.23,1891.26,2017.07,2158.66,2303.49,2393.09,2371.10,2499.85,2627.17,2701.52,2822.77,2992.95,3201.83,3408.81,3637.98,3887.98,4019.66,4170.85,4501.88,4723.89,4977.32,5237.70,5524.73,5815.20,6146.79,6503.53,6864.63,..
