TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,3759.97,3836.56,3913.79,3989.39,4063.34,4136.33,4208.93,4282.69,4358.29,4435.60,4513.80,4595.07,4677.10,4758.91,4842.25,4927.85,5015.44,5104.24,5193.14,5281.58,5369.26,5457.24,5541.70,5624.94,5707.70,5790.17,5872.29,5953.47,6033.44,6113.21,6192.07,6270.95,6349.94,6429.15,6509.00,6589.46,6671.01,6753.61,6836.46,6918.71,7001.06,7084.74,7167.62,7251.44,7335.64,7420.64,7505.01,7588.07,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,292.84,297.29,301.59,305.89,310.33,314.74,319.23,323.81,328.57,333.81,338.25,342.62,346.86,351.02,355.22,359.51,363.88,368.33,373.02,378.12,383.62,389.09,394.48,399.66,404.78,409.80,414.87,419.79,424.63,429.38,433.94,438.48,442.91,447.25,451.52,456.06,460.79,465.66,470.46,474.99,479.15,483.30,487.37,491.54,495.62,499.82,503.84,507.85,511.42
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,156.97,159.47,162.87,165.34,167.56,169.63,171.57,173.40,175.20,177.01,178.66,180.44,182.17,183.71,185.15,186.47,187.80,189.07,190.32,191.58,193.14,194.46,195.62,196.60,197.77,198.90,200.02,201.05,202.00,203.04,204.13,205.10,206.01,206.69,207.23,208.01,208.95,209.97,210.83,211.61,212.26,212.81,213.40,214.22,214.93,215.59,216.17,216.79,217.33
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,448.63,452.03,455.30,458.30,461.14,463.61,466.14,468.67,471.20,474.05,476.68,478.93,481.02,483.07,485.22,487.43,489.33,491.64,494.12,506.76,509.43,511.97,514.26,516.17,518.07,519.92,521.68,523.35,525.20,527.35,529.56,532.30,535.17,538.07,541.24,544.13,547.48,550.86,553.99,556.60,559.25,561.67,563.97,566.49,569.31,572.26,574.69,577.23,579.67
Africa,..,..,..,..,..,..,..,..,..,..,..,371.05,380.86,391.03,401.58,412.56,423.97,435.82,448.09,460.80,473.93,487.48,501.44,515.81,530.60,545.81,561.43,577.44,593.79,610.38,627.17,644.13,663.54,680.87,698.42,716.21,734.27,752.62,771.29,790.34,809.79,829.67,850.02,870.93,892.48,914.76,937.78,961.57,986.15,1011.55,1037.79,1064.87,1094.06,1122.76,1152.13,1182.13,1212.71,1243.87,1275.55,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,230.07,235.43,240.86,246.35,251.95,257.64,263.42,269.30,275.29,281.38,287.58,293.88,300.25,306.65,313.04,319.42,325.79,332.13,338.46,344.78,351.08,357.34,363.59,369.84,376.08,382.32,388.53,394.68,400.74,406.68,412.48,418.16,423.71,429.13,434.42,439.55,444.56,449.47,454.34,459.09,463.98,468.85,473.69,478.44,483.10,487.63,492.06,496.37,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,64.83,66.88,69.03,71.29,73.68,76.20,78.85,81.66,84.69,87.96,91.48,95.22,99.13,103.14,107.18,111.26,115.34,119.40,123.38,127.25,131.00,134.63,138.14,141.56,144.91,148.18,151.40,154.62,157.89,161.27,164.77,168.38,172.17,176.21,180.56,185.24,190.20,195.32,200.41,205.34,210.06,214.62,219.00,223.24,227.38,231.38,235.25,239.09,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,295.64,298.41,301.14,303.87,306.48,309.36,312.18,314.95,317.66,320.43,323.21,325.83,328.43,331.29,334.18,337.08,340.00,342.81,345.45,337.24,338.22,338.83,339.22,339.01,338.48,337.85,337.25,336.54,335.54,334.64,333.28,332.01,331.24,330.70,330.24,329.95,329.85,330.10,330.97,332.02,333.14,334.20,335.43,336.61,337.84,339.05,340.09,340.95,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,1054.79,1080.04,1105.80,1132.04,1158.78,1185.99,1213.69,1241.97,1270.96,1300.72,1331.39,1362.81,1394.78,1427.22,1459.95,1492.94,1526.24,1559.82,1593.67,1627.80,1662.12,1696.60,1731.18,1765.82,1800.41,1834.95,1869.36,1903.67,1937.75,1971.76,2005.68,2039.35,2072.67,2105.77,2138.52,2170.86,2202.82,2234.47,2265.68,2296.54,2327.15,2357.38,2387.44,2417.26,2446.83,2476.20,2505.26,2534.07,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,845.15,866.15,886.18,904.73,920.86,935.20,948.04,960.83,973.94,986.30,999.07,1013.90,1028.66,1042.22,1056.50,1072.32,1089.62,1107.26,1124.34,1140.89,1156.53,1170.77,1184.34,1197.87,1211.01,1223.99,1236.56,1248.48,1259.34,1269.31,1278.56,1287.14,1295.13,1302.86,1310.53,1317.88,1324.80,1331.61,1338.23,1344.73,1351.20,1357.85,1364.56,1371.50,1378.51,1386.00,1393.79,1400.18,..
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Albania,..,..,..,..,..,..,..,..,..,..,..,2.19,2.24,2.30,2.35,2.41,2.46,2.51,2.57,2.62,2.67,2.73,2.78,2.84,2.90,2.97,3.02,3.08,3.14,3.23,3.29,3.27,3.25,3.23,3.21,3.19,3.17,3.15,3.13,3.11,3.09,3.06,3.05,3.04,3.03,3.01,2.99,2.97,2.95,2.93,2.91,2.91,2.90,2.90,2.89,2.88,2.88,2.87,2.87,..
