TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,25752609,26244429,26718025,27264860,27701880,28334591,28926802,29618122,30324278,30892134,31387190,32112980,32808419,33902338,34476464,34977241,35891025,36316113,36907154,37855444,38471843,39213080,39210275,39814556,40505995,41065806,41431283,41800455,42368309,42481751,42249907,43072188,44004974,44862698,45592593,46272111,47243822,48338297,48816436,50462953,50782814,51980440,52795493,52934891,53224059,54264647,54889958,55564159,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,2098299,2170007,2212859,2228207,2123026,2351528,2489600,2733823,2868439,2965071,2964042,3001262,3189888,3500900,3475222,3561916,3859723,3821605,3663945,3551843,3713330,4061152,3773934,3898361,4026074,4072365,4006473,4110517,4107412,4218349,3818564,3867712,4045913,4231179,4355737,4434976,4558144,4681182,4619700,4841110,4976408,5312998,5706259,5696948,5514241,5462125,5532522,5801853,5777477
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,149131,152070,147837,170997,172598,173941,175784,174466,168375,173136,182402,348426,355405,367008,377909,364551,377352,395368,414851,419510,417131,397831,420176,418347,446844,486872,513572,500094,517956,543228,530293,621481,632739,661471,703807,729634,776758,795999,731361,889312,911406,936752,994896,1024495,1063542,1110785,1211508,1232831,1245814
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,1227393,1260706,1297751,1334544,1332425,1343437,1351848,1407088,1469618,1494218,1540412,1559502,1644829,1726508,1790462,1814483,1846458,1891833,2079822,2327336,2407923,2438132,2589981,2608492,2696836,2806308,2883502,2930141,2941762,3021401,3109922,3209236,3493573,3627798,3993006,4290205,4630844,4988567,5242516,5746716,5625664,6074296,6223923,6145280,6347236,6497752,6665408,6736487,6918329
Africa,..,..,..,..,..,..,..,..,..,..,..,4785201,4895217,4996857,5108354,5248854,5350718,5469769,5595503,5724563,5875770,6019215,6180308,6343550,6531385,6705066,6885439,7079991,7276897,7488582,7965019,8163743,8318001,8459850,8904742,9180310,9406859,9569652,9821266,10072071,10097290,10374090,10621139,10875477,11291333,11579666,11881091,12129284,12452805,12753489,13018096,13443168,14068639,14384147,14512642,14847938,15211719,15492001,15852840,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,2581686,2583092,2581758,2623501,2684303,2668580,2723350,2748700,2837281,2907006,2915166,2971189,3132554,3359380,3401913,3401191,3515502,3485472,3537496,3375879,3327539,3282278,3197937,3326760,3254455,3278864,3278901,3291965,3356009,3170732,3227680,3421941,3640811,3816173,3901990,4034105,4302202,4588539,4511240,4812795,4666892,4737817,4949762,5082766,5240278,5231206,5292134,5408322,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,13656,12987,14593,14585,15055,14892,15207,14463,14010,13996,15395,15654,16353,17235,18487,18844,17438,19795,18048,18572,19091,21484,21959,23028,22474,22236,21070,19250,18411,17695,17956,16968,16998,17501,38418,38655,40339,40249,39704,40450,36015,36438,36316,36966,36240,39758,40218,41723,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,997316,958078,933290,938960,916808,918851,900432,868054,858403,862404,896238,931176,899882,946798,971565,908107,943882,890445,817482,702785,683216,738688,731876,567779,606762,601118,612035,570453,634224,628962,609045,620680,617816,669200,669363,723069,725852,738557,752576,816092,813847,849257,854888,853954,901250,968005,971857,1054807,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,7439623,7591456,7759398,7930717,8170836,8364760,8554818,8732413,8941356,9064372,9231949,9395200,9437235,9615630,9839899,10037766,10177243,10370271,10606591,11101327,11265328,11433207,11448079,11481383,11697868,11827415,11966577,12073178,12270628,12486702,12598386,12831606,13089938,13286025,13299846,13171543,13584883,14012400,14345652,14714349,15002795,14929610,14858068,14766640,14503136,15014175,14845969,14538576,..
