TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,60176095,60571808,62642522,62890212,64218762,66868318,68857458,70872309,73750184,74640988,75440102,76484905,78152685,81069668,84001600,84650009,87965478,90656352,90525814,92971531,90467424,88880849,89254136,90016695,92430697,93962226,93267123,92947095,93374626,97013785,98436477,101844859,109601592,118240587,125210478,132802897,139803452,141654407,141602009,152809757,159890545,161559263,163526522,164765843,160887931,156382419,158562499,160703020,158740352
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,12479755,12921836,13788567,13819520,13636118,15104060,15241001,15838592,16338208,16763792,17221236,16598234,17409219,18425303,19067461,18455001,19534953,20348411,20616640,20557331,20360055,20661955,21076209,21257900,21242857,22066717,22772484,22939243,23113304,24098799,23757071,24061876,24082097,24854916,25258622,25005902,25132043,24627001,21828239,22752216,21765098,19383624,19712220,19714015,17195135,15853346,15421242,14866196,13101008
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,3535419,3531565,3756469,3912382,3799625,3810844,3787977,3422662,3726350,4246475,4622353,4621767,4558818,5104403,5362587,5226068,5275470,5691896,5791261,5880149,6009688,5840283,6027143,6228898,6413563,6752753,7181630,7107181,7462374,8151078,8416273,8690093,8899651,9469036,9242365,9474129,9823129,9974794,9538250,10385715,10269909,10345736,10575174,10420873,10500664,10426865,10450331,10210699,9975736
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,18255349,17381210,17811256,17522165,16890872,17792152,17806707,18112924,19312963,19418745,19084336,19342212,19232997,18832034,20001181,19787904,20065543,19699277,19344389,18776412,18078341,16847305,15773920,15406849,15222648,15207747,14774355,14216818,13407424,13856222,13726080,13668885,14147577,13967057,13614547,14226108,14263960,13303222,11940661,12591179,12776819,13199146,12868998,12188328,11979190,11306596,11038067,10692402,8958762
Africa,..,..,..,..,..,..,..,..,..,..,..,1510509,1507265,1591437,1667347,1734136,1825328,1836895,1933493,2028623,2163872,2425848,2744390,2815508,3023250,3051204,3208581,3370582,3415446,3216598,3105032,3273552,3040293,3368189,3452984,3584220,3630464,3707996,3678516,3766086,3778622,3804217,3686021,3996384,4294701,4221702,4296027,4413568,4763957,4657003,4543677,4451717,4411223,4376084,4719393,4476784,4640307,4648460,4752484,4395113
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,216576,222371,226588,258151,282231,294907,330618,352613,366295,386006,380869,402378,432946,489600,568094,612065,649243,647142,660069,607785,655590,653527,676316,698677,713771,705169,705169,744313,673241,731934,730119,721496,751165,793444,783886,780080,836403,853314,725181,897727,962637,922705,1065248,1133016,1157724,1075481,1041102,1024583,791719
Middle East,..,..,..,..,..,..,..,..,..,..,..,9797,15083,25493,27662,50834,50143,50722,33308,47833,50359,42227,56759,53439,41282,40537,39898,39247,40499,29733,29740,42508,37444,49088,49326,48256,50886,51987,59637,61880,66711,59484,62845,68950,68633,82170,86391,83977,88944,69312,100585,91407,126060,141827,150046,137901,140871,157843,154642,150053
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,13859314,14270289,14563420,14678922,15185121,15128515,15418401,15435063,15606250,15161278,14984769,15001819,14813315,14515627,14556678,14933310,15166280,15313501,14751337,15292761,14176693,13057003,11775357,10614022,10122899,9567130,8784716,8529329,8561655,8738832,8580020,8711409,8969777,8944116,8841904,9246819,9287837,9627047,8166371,8648268,9177658,9725397,9188303,8651288,8607576,8629213,8622269,9065605,8646485
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,2269475,2300576,2309507,2512979,2710449,2879537,2964862,2898372,3160328,3365338,3630333,3918971,4176551,4490318,4806289,5137766,5421137,5737502,6024273,6280271,6656963,6822942,7126925,7343041,7715640,8107798,8418178,8297708,8939506,9604789,9930120,10328314,10668121,11763444,12489790,13401312,14358953,15240952,16399485,17662677,18804664,19965860,20456351,22669347,22949902,23242026,25130460,26793881,28477177
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,8038862,8420885,8569787,8491085,9929375,9982831,11420276,12845282,13163334,13085123,13048130,13798374,14659892,16147851,16547570,17249416,18443023,19762678,20091515,22442049,21214033,21920096,23380989,24964998,27366843,27873562,26870606,27374349,27389156,27986797,29433092,31913919,38017870,44085240,50675492,56286129,61603582,63175176,68277507,75227714,81590636,83479512,85142319,85119536,83883053,81067584,82052724,83142529,84244298
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,1038,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,..,..,..,..,..,..,..,..,..,..,..,12528,13726,14799,15460,16504,16847,17933,22411,28238,25445,26931,30364,32835,35451,37775,38296,37869,38874,39006,26359,15702,3979,2028,1663,787,1112,384,482,1171,719,837,610,630,630,532,532,532,689,4208,4643,5819,3233,2805,3619,3981,2124,4856,9354,4991
Algeria,..,..,..,..,..,..,..,..,..,..,..,8553,8553,9863,6596,7850,8598,9428,8404,10293,5302,9560,39283,33530,34573,34573,42103,45543,45910,41454,28708,32853,24083,27777,27072,32148,21517,15256,23603,23942,21799,22391,33304,30851,36745,32345,30033,33727,33699,18217,14354,12380,12239,8573,6401,5922,0,9226,15684,223
Angola,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,..,..,..,..,..,..,..,..,..,..,..,33487,28997,29024,43815,43968,42649,35007,55101,48154,45139,38835,43296,35712,25100,34635,39568,45592,44124,42383,39500,35087,34129,31946,51944,43273,38951,36377,33496,30956,23865,20427,25596,22260,42666,43483,43976,60298,59862,41275,56788,72281,58588,56552,68279,66975,51753,52947,57603,50228
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10257,5500,2620,56,669,56,93,93,93,56,0,0,334,502,0,0,19,56,37,0,25,0,50,25,0,27,24,14,45,-65
Australia,665346,672778,686903,699391,736535,762479,803205,834269,848547,871073,896172,884297,923250,945542,928323,998127,996367,1081564,998110,1034394,1143764,1155060,1195928,1169640,1226315,1260800,1237147,1331824,1347227,1464486,1460680,1518887,1542077,1572512,1553851,1569973,1703476,1855934,1972869,2013570,2015829,2018544,2034808,2015734,2089200,2136731,2164525,2172797,2156304,2205217,2113079,2013814,1968849,1831204,1736614,1797036,1863051,1861129,1797650,1712782
Austria,211753,205392,211221,228430,218676,201310,190993,181246,179436,177796,189951,171024,161114,162030,170684,149922,162557,137671,138393,151968,152950,157811,150121,160822,183196,182937,163082,161798,155006,155513,171503,179671,139653,125662,128003,145591,145763,154454,136073,133188,150744,155947,159451,169569,166885,168527,169301,162135,160441,120217,141603,145753,136081,139414,127388,135495,126623,129901,113960,118016
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3716,2787,502,130,149,111,111,111,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,3913,3913,5085,4520,5231,5797,5148,6675,3746,5200,5345,6475,3665,1467,2051,3097,4876,5022,5231,11781,3767,3536,1318,1235,13434,7366,13518,3892,1925,13811,14648,15213,14627,14648,17682,19984,24400,27267,33314,33942,31326,37813,41372,38755,95050,67089,83069,92206,105360
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99801,98645,87135,76538,62649,58054,57677,48596,46511,39305,40451,35253,30085,28418,26068,25560,24281,23419,21383,21498,23592,24213,31092,33821,35258,31775,34078,34954,35435,48033
Belgium,667482,660771,699645,736315,671997,637266,598660,577030,599865,565073,516415,425122,444756,468147,520551,394249,424285,407385,438768,476291,477028,464368,448035,410718,459095,434254,388265,395469,405672,431830,442494,421060,384797,355546,375950,362721,346094,334452,337697,296089,335659,310883,268545,251884,245812,216611,207328,184983,190834,131268,158505,146710,135390,150562,142081,142839,134798,131102,131054,129737
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,1084,2064,1957,0,2592
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,1297,5922,7276,4230,2538,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,134,160,160,254,206,275
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174925,155628,133395,115609,12450,14585,21185,66186,84344,82214,103080,100882,110982,114246,118020,126841,136496,133897,153952,162641,168724,198219,183022,182819,153150,151370,172153,175373,177105,178691
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,189,472,779,1675,5286,6938,7409,8377,8754,9510,10265,10029,9911,10996,12318,12554,14866,16022,19232,18854,21473,21237,21497,21520,18358,18807,24093,24494,24541,22512,23078,20034,21992,23644,23101,21355,21568,17415,21992,16046,25721,30653,42451,43324,39454,46988,49040,39624
Brazil,..,..,..,..,..,..,..,..,..,..,..,92366,98500,96510,100227,123489,130815,165846,208100,226790,248168,244777,255688,288037,356428,420661,424927,445053,454105,451968,404906,462934,448061,461003,473410,496695,511928,515215,503101,510778,544900,536439,518827,538634,563886,543766,536629,569035,575011,459731,605754,646796,640416,690130,733966,740345,666590,702509,687356,648095
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
