TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,37385379,39431078,40892149,41994949,41818357,44284501,45305485,47371507,50327385,51553670,51922861,52131516,53104864,56921564,59021582,59912031,63244867,65954954,68623461,69592429,71977033,72040505,73354748,73326791,75639738,78323986,79183808,79898435,83508262,86718379,87397857,90308196,93593663,95996503,98809390,101280105,105794946,108429203,106164189,114548849,116616421,118840190,121286972,121448790,122622800,126334086,129743485,136556456,139010387
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,23348526,23742100,23570388,22928829,21244913,21747531,21142390,21593573,22580817,22706716,22092565,20832716,19892345,20623830,20364531,19171223,20106031,21000657,21881321,21661213,22571797,23087760,23778638,24353893,25144717,25213128,25482423,25152152,26371903,27745335,26312935,27388740,27199719,26833799,26849069,26770801,28345918,28123551,28016603,28909005,29845161,31074470,31837480,32674900,33625611,34413814,34111690,37037641,38190598
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,222668,266737,367750,459009,515184,603251,761311,967921,1108961,1247282,1334119,1429847,1504229,1904145,2064794,2157060,2270903,2385151,2529739,2743863,2833434,2947683,3064141,3286855,3436374,3696378,3915422,3942417,4261045,4479050,4638777,4781864,4922948,5055512,5088560,5618628,6090194,6260675,6170628,6700053,7434179,7677029,8061635,8060077,7653487,7732078,7826549,7912952,8210416
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,3888254,4901868,5642529,6482156,6919854,7505211,7773530,8150308,8697843,8631887,8446150,8183473,8550241,9019809,9422542,9672402,10213657,10068263,10490601,11180054,11870648,11704948,12268525,12360086,13454734,14887476,14847305,15439004,16078664,16596148,17171690,17204383,18022299,18498309,19078285,18984540,19025007,19535778,18388586,19786935,18090254,17741805,17537703,15838612,16439832,17385192,18198232,17848822,18315279
Africa,..,..,..,..,..,..,..,..,..,..,..,97693,117927,144259,159626,169133,178757,214295,288475,392010,493193,560355,663706,765707,780938,863064,973028,997786,1058307,1160648,1236887,1317356,1376016,1490943,1503480,1565170,1596722,1677983,1723865,1903925,1975970,2195246,2359592,2647393,2752367,3127915,3340102,3567810,3640609,3582968,3746202,4053796,4262106,4244215,4457588,4619697,4853674,5244751,5582632,5564774
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,649773,716895,800793,842114,831495,888811,959347,991465,1080660,1153744,1173371,1286376,1377076,1511509,1537516,1607734,1649210,1758699,1890133,1953364,1994540,2020374,2122807,2237768,2373397,2630404,2745247,2962669,2962074,3220767,3274968,3570536,3719949,4048051,4103207,4305888,4459102,4655902,4484372,4988580,5067501,5458135,5743159,5967681,5948875,5727862,5754159,5584854,5470324
Middle East,..,..,..,..,..,..,..,..,..,..,..,459102,506363,602318,616743,681300,759588,844974,890763,1144318,1224418,1462646,1557745,1570692,1812490,1917488,2297830,2533372,2805139,3219880,2997045,3151141,3465488,3876571,4366708,4608248,4760223,5161766,5491087,5860214,6088301,6505736,7047849,7499857,8244914,8895041,9674539,10522880,11432795,11774419,12829604,13381934,14116500,14503042,15182513,16142025,16807706,17508801,17966380,18313800
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,8385719,8791312,9297169,9929813,10808262,11843915,12655167,13339427,14094375,14856887,15607520,16858594,17978596,19591726,21050975,21973529,23257188,24500750,24799259,24936194,24871577,23860141,22975416,21166281,20628226,20781224,20044372,19722348,20159911,20331137,20671040,20820922,21759236,22125735,22409245,22628102,23011899,23186892,21366486,23878074,24309116,23472352,23334576,22515974,21083357,21589442,22254353,23833453,23030399
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,202463,218095,257214,312588,337808,403212,529435,668832,720348,738661,798958,900310,1037401,1234149,1347632,1577103,1730043,1878347,2124559,2347731,2803480,3024846,3190263,3436491,3799845,4040921,4493906,4630556,5007035,5310012,5546000,6003751,6597751,6979215,7542392,7873656,8202443,8623200,9131927,9837031,9724861,9772423,10051484,10229708,10357556,10558192,10556027,11031199,11325468
