TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,102009029,109632753,117967850,116329989,115324582,123129102,128057928,132870491,134564394,129983941,124273482,121599017,119893968,121293322,121530383,124773586,127909307,132042038,134181122,135368108,135906789,136671229,137544113,138408386,141233197,144938524,148589140,149086301,152282458,153633659,154913783,156758272,160262549,166192995,167893490,169940102,171549237,171037173,167673880,172804302,172817571,174821538,175710557,178727100,181214478,183473053,186598380,188280321,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,34513091,37234588,39118055,37776253,37792847,40449478,43092610,43993253,43016235,39982600,37813131,36228869,35568771,36576410,36618511,37635553,38592415,39683484,40109192,38544483,37882390,38645880,39481619,40266896,39985834,41173836,42404567,43179451,44004335,44298627,45040866,44515506,45942304,47305346,47636889,47117987,46889995,44617502,42310927,42380534,41450198,41344428,41166159,41182642,41861469,41340228,41593540,42079370,41964588
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,10162208,11014834,12590208,12334998,11744353,12534300,13097712,13185685,13673149,12649021,11770308,11620169,11417392,11630659,10989771,11426085,11520929,12566327,13232234,14383042,14436657,15490836,15724226,16599535,16949097,17397456,17443359,16312734,16801110,16964658,16273224,16479272,16654274,16445915,16236288,15791423,15763907,15108480,14539864,14912262,15090290,15503603,14988382,14491253,14443889,14471929,14404026,14082495,13606600
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,26815147,28694368,30665979,29131502,27636894,29645754,29220827,30296910,30687706,28824351,26496551,25169411,24504477,24630576,24309865,24857813,25022550,25258877,25269225,25846179,26375519,26300843,26302549,26388193,27109037,27716606,27646488,28208178,27878851,27387864,27875276,27789603,27983437,28073564,27977012,27854143,26870835,26746281,25399157,25363558,24460645,23671372,23223203,22836381,23317806,23559590,24175649,23573553,23275705
Africa,..,..,..,..,..,..,..,..,..,..,..,1450349,1592425,1712557,1789358,1919127,2092090,2293841,2428232,2428605,2707749,2621143,2930137,2952285,3072728,3203003,3180415,3329446,3325018,3337178,3566129,3568201,3723320,3601215,3520292,3714953,3902747,4012676,4267225,4227388,4229452,4301967,4317508,4526414,4888758,5091676,5266706,5593005,5983221,6428528,6794599,7174351,6998331,7264366,8126430,7651848,7838028,7800864,7934402,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,4249410,4445121,4892513,5211447,5270624,5536773,5813616,6079548,6248879,6391310,6166133,6091673,6012324,5807536,5737341,6069159,6238768,6311930,6268776,6281795,6372937,6755952,6629810,7224970,7367507,7804466,8150256,8514471,8913244,8790004,8574035,8808855,8623220,8763284,9127179,9384007,9763385,9928140,9657026,10670144,10546787,10972971,11659444,11561975,11195975,10809598,10650333,9896423,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,1236532,1211066,1459483,1667607,1784699,2069216,2297526,2588127,3067525,3428998,4009749,4619573,4644174,4745610,5046206,4905965,5282119,5723930,6097481,5741793,6151979,6962947,7491685,8021329,8112807,8184972,8641491,8379754,8587405,8582065,9360757,9627563,9372582,9689163,10518947,10777732,11096861,12045523,12507688,12416319,12447990,13026459,13071761,14005039,13577419,13561518,13681656,13408078,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,11945478,12980623,14057612,14995738,15754129,16492528,17100247,18245541,18899121,19444071,19271810,19115582,18916320,18811160,18713783,18709605,19229210,19201984,19047123,19230251,18875413,14974322,13127543,10325681,10050845,9263628,8917951,8619275,8267121,8362451,8501413,8549462,8835312,8908358,8761127,9286837,9277489,9549689,9135887,9035921,9559969,9888771,9400318,9422133,9182139,9964513,9974011,9946344,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,2924687,3132369,3472249,3511239,3612481,3860823,4191788,4610739,4946666,5184604,5264802,5328808,5560096,5471242,5781003,6044633,6337895,6911487,7375978,8194937,8514282,9094351,10016997,10539598,11598687,12254581,12957343,12989567,13528856,14023832,14224069,14747321,15172940,16108539,15812525,16092560,16634489,16959757,17711049,18170719,18208140,19235508,19793146,20657323,21513243,22425278,23139020,23988706,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,1760826,2019828,2304735,2648455,2951411,3452281,3729805,4087764,4012021,3901633,3711126,3669746,3715512,3784147,3991437,4240338,4498410,4793641,4985122,5107990,5173010,5677729,6220023,6216965,6717839,7315688,8143746,8020234,8931351,9520221,9710134,10344491,11508279,13313578,13436065,14372715,15017681,15336280,15928018,18058214,18667662,19575828,20444116,21228342,22532525,23019469,23941332,25707953,..
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,4580615,4798057,5076489,4745899,4422861,4555015,4558588,4593744,4729102,4630224,4319417,3894000,3645543,3695289,3986877,4240014,4195511,4395980,4393388,4841112,5028195,5400820,5234053,5399580,5572404,5704589,5844203,6020424,6371508,6537568,6205010,6441818,6538347,7181423,7431801,7915543,8385805,8396755,7993902,8604693,8605110,7998746,7981931,8271189,8605218,8833799,9136480,9221655,..
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,2370685,2509473,2617971,2517493,2435157,2440845,2661368,2760948,2855386,2839380,2829313,2931050,2957074,3067965,3152585,3464005,3662053,3869380,4065425,3630398,3528205,3644229,3714392,3905345,4054187,4219955,4427061,4574987,4771289,4936918,4847032,5136872,5105441,5515066,5863980,6080448,6255783,6365546,6061833,6397338,6606430,6605522,6717730,6944393,7332946,7649101,8101469,8441340,..
Albania,..,..,..,..,..,..,..,..,..,..,..,36748,43922,33074,35053,36043,40738,43541,49910,29896,65136,47682,43855,47602,51473,41379,42211,42232,44844,45850,50848,34051,24326,24906,29013,25818,25084,19989,24253,41940,42986,45515,52215,52146,58481,59414,56176,53920,55007,52412,51111,50905,44458,51362,55407,49966,51098,54599,47704,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,91908,101167,124223,133744,136499,152328,170052,182198,211871,218446,198920,246279,252435,281540,311361,314057,308902,311708,315560,390057,404649,425403,387000,375469,377761,366182,352111,359705,386663,401499,393359,428171,433592,465892,460642,517838,570631,581194,681234,750844,762252,796177,847641,884606,898079,874914,880724,904144,..
Angola,..,..,..,..,..,..,..,..,..,..,..,24019,34902,32492,34584,28475,26695,21431,35215,34934,35439,33697,28372,30764,29567,38381,37542,38723,44104,45044,44300,44441,41629,46427,45926,41459,45183,47294,41902,53284,56434,65729,72036,89663,92618,67924,101334,121175,151144,185254,195055,206776,264201,272550,447436,339906,309145,295680,316463,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,1010471,1030452,1047234,1045361,992853,1026970,1068636,1079684,1132090,1072678,1034381,1001870,979132,963432,863200,897871,959290,961271,881203,855773,906242,944113,916726,999809,954258,962842,998037,1043559,1074628,972914,814104,809176,851651,983267,944528,1060470,1157335,1214728,1010637,1186596,1207831,1205407,1256979,1245806,1245354,1208496,1161695,1088999,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,152488,172386,94135,47719,14181,10091,5584,5954,6120,8430,12193,12012,11587,13266,13425,15593,14824,15424,16767,15553,16009,15001,15435,13590,13602,12901,12737,13582,13348,..
Australia,467000,506724,555565,612307,641059,691159,740549,798307,856287,877942,1001030,1010982,1001286,1112968,1175179,1146543,1194578,1254356,1324496,1316734,1259166,1201472,1245767,1130360,1154407,1103869,1143289,1178282,1202955,1272275,1306322,1240211,1282036,1383122,1383055,1362962,1473392,1400775,1374199,1393633,1429894,1281399,1360752,1480642,1488011,1545479,1532402,1543175,1653653,1652462,1742332,1806935,1845341,1883931,1856819,1776760,1796162,1796024,1816668,1829070
Austria,124994,137765,166823,191416,217260,232349,252418,275111,314371,345494,379935,420523,458316,506880,449264,444788,480270,470145,483146,530318,505832,450391,435129,421712,404353,409790,425658,446579,421480,413898,433535,466005,455731,464276,459000,460398,500368,497871,525826,498772,490283,525121,536969,572375,577043,576680,572725,547249,531088,502643,516707,483145,473501,486567,471330,474208,482282,484152,488479,490389
