TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,231053836,242311641,255308470,256839978,258727460,272883241,282631705,293633714,302520915,301560057,299097973,299305156,302659090,314599985,323224052,329943366,342255776,354130441,360119483,367041218,369347483,369609132,373346032,376295338,385962311,395676350,399721433,401715930,410689177,420122180,423636327,433045624,448394150,468138362,481247680,494885587,508668580,514629812,509685085,537781369,546279425,553272429,561108644,567327356,568707186,573048684,584080057,597954115,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,74552628,78536686,81663620,80291593,78980113,84102549,87004850,89798887,90334526,87980193,85983925,82776808,82564551,86174672,87313138,87225138,90903395,94409620,96107201,94789256,95697965,97620814,99479403,101540475,102631912,104955424,106343430,107254325,110210190,113187095,111397011,112596369,113849925,116276570,117308734,116735413,118434395,115654479,110311384,112501652,111953560,110752392,112586147,113671617,112602260,111838063,111715974,115054409,114324035
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,14598581,15518285,17360026,17545456,16976007,17961845,18589769,18855327,19972289,19769844,19417424,19681202,19705070,21076192,21255725,21861332,22447239,24006569,25093104,26880499,27334559,28362308,29286871,30710856,31855092,33138334,34114142,33214074,34343581,35578816,35283777,35810002,35916786,36919251,36904352,37301009,37599599,37326823,36410826,38485601,37380092,37084433,37123054,36681817,36600235,36778824,37013338,36805198,36625429
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,52043945,54314507,57589957,56865753,55504404,59078148,59484292,61507697,64039877,62563950,60682291,59684774,60097420,61617046,64059505,65201613,66640623,67081460,67579055,68779507,69618844,68409822,68500200,68299880,70269295,72829741,72533744,73231810,72926498,73626293,75046459,75035365,76864203,77673811,78059199,78776687,77782268,77741990,73737911,76806403,74193389,74054318,73510360,70759443,71864012,72454949,73747007,72947253,71822420
Africa,..,..,..,..,..,..,..,..,..,..,..,7941146,8224276,8561113,8857125,9209353,9601434,9985973,10423666,10772931,11444996,11813127,12702751,13054119,13610269,14054388,14535661,15030309,15388503,15532710,16172044,16644864,16779801,17206028,17703999,18397995,18966246,19416443,19946128,20432343,20558773,21120269,21443510,22520370,23735409,24513678,25280866,26227143,27395751,27996290,28718434,29760691,30381464,30974671,32622441,32400357,33377666,34074016,35031810,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,7944218,8245723,8817396,9309261,9494199,9875443,10354373,10769829,11200966,11573763,11402848,11564902,11835892,12174913,12348017,12831902,13285969,13471030,13679003,13625585,13824575,14204003,14217923,15167590,15456454,16238066,16807193,17481294,17903868,18026555,17900847,18685165,18992159,19769742,20344310,21081180,22038873,22737868,22161381,24172408,24215854,25048857,26339033,26527594,26378886,25832163,25786738,25077984,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,1732519,1762192,2115149,2344753,2551840,2917492,3234878,3562308,4308400,4752767,5567266,6287737,6320902,6653211,7058596,7302948,7922774,8637437,9413422,8832501,9407495,10538531,11490370,12503150,12834513,13062689,13918330,13992683,14562154,14789293,15985504,16804418,17022250,18090170,19640997,20697733,21859995,23660275,24455135,25469828,26055568,27424609,27914301,29530033,30042131,30752875,31585543,31815805,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,35755529,37609778,39485068,41388007,43662590,45455405,47244194,49174232,50806212,51922309,52511078,53741636,54608154,56315434,58050206,59230975,61608261,63256990,62697455,63389823,61880161,55840207,51848892,45663144,44449696,43449466,41598020,40641839,40976844,41573435,41969075,42369548,43914821,44476147,44613623,45872758,46355447,47138985,43446357,46556374,48013185,48162853,46987970,45787249,44234360,45615556,46429685,48531718,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,13033759,13438226,14026949,14501234,15099767,15793687,16520949,17269118,18196131,18850385,19506269,20175114,20966539,21690018,22724424,23752787,24698434,26000016,27248406,29163476,30505801,31654130,33041297,34229654,36270015,37732419,39373920,39660622,41523272,43434803,44375961,46014999,47667808,50368318,51458286,52999895,55313182,57444947,60328965,63311485,64909155,67098847,68521201,71810615,72764558,74875274,77569463,80596959,..
