TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,404492,438782,483221,494676,414486,453438,491987,541930,594148,639389,674071,728377,760230,807192,821585,862434,926924,969836,1027271,1234185,1316642,1261400,1266194,1305565,1300281,1236331,1288766,1303102,1282897,1195213,1206605,1362900,1421676,1466316,1479001,1557237,1602695,1634156,1685819,1740787,1837717,1882476,1918021,1994594,2090543,2213052,2328773,2464877,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,69736,64292,66467,31543,32494,33390,34812,36529,38779,41796,42426,47574,45846,48096,49802,52240,49518,54616,59072,55238,57398,54086,55228,58057,57888,62514,63209,63007,63972,63014,61733,202439,212155,205852,213707,211975,204012,202255,212692,203432,196938,183406,180245,170795,209794,223232,252592,252427,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,8287,9403,10501,10145,11131,11520,12532,13655,13237,13244,14281,18605,19789,20894,22144,23429,24689,27670,28876,28693,30514,32663,32596,36616,38679,41807,43440,43300,46156,49442,52849,48421,51824,48555,48497,51354,54769,57776,57239,60969,63448,69207,72370,74279,80418,84237,83800,86929,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,68771,73760,83048,89086,92506,98708,105199,111895,123642,128981,130756,133560,134158,143266,154454,155192,163602,166565,169250,169423,169762,160499,154001,150872,149584,152212,152312,158116,157885,164313,166337,164755,156181,172363,179472,187743,191637,193584,190622,204642,201094,206833,205440,210506,217512,226169,229240,234055,..
Africa,..,..,..,..,..,..,..,..,..,..,..,4633,7038,7747,8075,9302,9904,10649,11336,12661,15592,17028,18515,19840,20963,23634,24682,24934,26165,27911,29700,30208,31435,29452,36522,38156,39629,40388,41756,45022,38876,42718,45252,49730,54853,60527,59267,62806,62676,65088,69487,68882,74329,74743,77846,84966,81953,83919,86170,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,4104,4212,4536,5249,5893,8089,8968,9706,10721,12632,14238,15412,17150,19519,22104,24203,27810,28112,28062,31334,31993,36234,37742,40331,43646,47048,51448,61960,63097,65574,64526,66989,70254,74732,76104,81425,83786,86630,81223,84150,100544,109026,108536,116903,118152,123440,125398,132735,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,461,569,860,1084,1469,1714,2052,2279,2750,3553,4414,5836,7142,8651,11142,10642,14098,16265,18378,20869,21859,22500,25319,30330,31374,31644,31266,34826,40230,44770,52103,58162,64606,71795,76871,82361,82242,96484,103734,109080,130860,138784,144929,155912,162122,163411,175643,171324,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,170802,193090,216353,249120,147247,167562,185476,204311,222782,240656,259682,278838,301050,317135,326700,336546,349852,354316,368996,539982,565121,481806,477101,447376,391475,361246,315554,295535,274723,236588,223693,213440,205229,195646,168674,176717,177710,166464,141196,142859,142456,144083,147355,148302,151824,153062,154813,189450,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,22817,25985,27565,33437,36785,42005,43711,50486,57769,63630,66398,74966,77087,88304,97340,119617,142967,159725,178945,205297,237060,254113,281599,314453,339808,335246,360832,380146,354085,340769,332986,345200,362164,365728,375671,408661,429307,448949,495662,514631,568850,592283,614729,675230,691416,764460,800324,854849,..
