TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,2310761,2529742,2804699,2930501,3444289,3583649,3784460,3954092,4093632,4347068,4553089,4818092,5049832,5314957,5665914,5981760,6321402,6623406,6918754,7015156,7354114,7524167,7870898,8184169,8551469,8982600,9378337,9806518,10177297,10778784,11141900,11441200,11753874,12260821,12846357,13307833,13907322,14335620,14423671,14980276,15049570,15423345,15724867,15821933,16211246,16568743,16842301,17275879,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1426601,1528722,1733281,1813439,1918670,2027333,2129497,2188861,2245817,2306164,2451370,2509895,2564374,2701642,2838812,2964017,3103456,3207542,3350783,3451748,3529814,3513913,3652610,3758328,3913934,4014684,4200991,4346071,4487234,4709567,4842583,4889095,4879030,5006099,5106380,5191088,5345014,5359644,5258873,5352782,5360710,5342256,5414065,5475038,5514055,5517292,5519213,5613050,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,122069,141883,157568,174132,195325,211003,234734,249030,265280,284303,308095,439888,481921,513202,546541,568696,622033,664628,721588,695897,762683,815922,879523,989391,1065894,1133523,1198019,1286918,1358042,1479608,1510146,1613585,1655137,1750573,1827538,1878377,1986248,2019737,2006693,2055655,2044420,2026201,2037448,2030400,2025438,2082312,2102469,2096899,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,624229,690307,729072,741233,786492,853812,897797,962816,1005494,1042438,1068458,1110881,1176916,1205503,1294070,1362809,1444684,1541660,1598026,1701720,1836410,1882109,1931630,1959440,2002054,2101547,2171135,2249273,2320819,2446726,2541017,2609858,2703598,2781632,2861045,2998343,3056407,3158313,3179216,3255725,3173631,3223834,3223258,3134509,3239175,3275390,3306486,3322015,..
Africa,..,..,..,..,..,..,..,..,..,..,..,17100,34261,35777,40129,42127,47416,48953,52430,56354,57463,61603,62114,66481,68864,70146,67885,72745,80204,86540,91472,94558,80284,86609,89435,104144,148399,165092,140965,159782,168826,179993,199415,213264,241171,268564,291589,303242,316382,331661,352321,354312,376636,393458,390848,394459,438484,449508,451271,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,73116,80892,90148,98996,106672,115819,125464,135119,148723,165766,171464,182005,195232,201283,213916,229813,239112,249559,261349,269204,282542,290930,314478,336978,367290,389714,418763,466898,482058,511463,502322,508532,533275,551689,575989,595678,648691,676922,703840,728838,765828,810169,846259,874055,916607,908035,917579,918334,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,4115,5285,6862,7841,10073,12564,14900,17960,20963,23134,27965,32814,63536,81562,77033,98640,111370,112558,121640,134906,145566,155959,181825,186977,193003,203454,213592,236398,247457,254934,274428,284674,319892,337651,361292,395154,424458,460177,498341,553946,545764,666007,685584,767282,843163,863953,890478,922999,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,7765,9241,10555,11207,328439,253685,255737,268492,262649,366102,356771,362462,370339,402908,448664,498834,511502,520132,508910,343806,341730,380017,374546,361672,357006,353334,333956,349757,364612,377526,411135,400455,414167,446449,611709,628192,708881,805555,805930,871223,874963,877952,899015,866713,876706,886289,904685,890594,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,29282,31925,33275,35590,47718,52304,66031,66740,74473,85925,89888,97934,108022,115196,126025,136264,153104,174564,191236,213134,234050,262339,291528,314748,343735,380110,422834,453406,459558,496818,522781,564131,603666,660143,719676,773039,830484,890543,933473,1018426,1035587,1118502,1157918,1151694,1200463,1294236,1331096,1451361,..
