TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,8553013,9132314,9831960,10143914,10171541,11011118,11416093,11956738,12497699,12473406,12647621,12238200,12713670,13646657,13892350,14138881,14725382,15504062,15940138,16267414,16539877,16445512,16367691,16619304,17052780,17349226,17731697,17817271,18354158,19449723,19439981,19459149,20382476,21555326,22592927,23873938,25264079,25340836,24459595,26829478,28351492,29089446,30009430,30698449,30713872,31393108,32288863,33702219,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,2480274,2633058,2788232,2820899,2747376,2997230,3124008,3251365,3356129,3306341,3362134,3030854,3163590,3490999,3519324,3432290,3580031,3784874,3870112,3952915,4302554,4404456,4445359,4630244,4720248,4767646,4834274,4914817,5085378,5233547,4904035,4283759,4430700,4471024,4485629,4504770,4557294,4449334,4038858,4177634,4319759,4346222,4324082,4257662,4186685,4178740,4138118,4141852,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,988715,1087600,1192856,1181916,1179151,1264720,1305335,1366387,1442585,1419124,1403856,1250816,1307063,1391227,1432764,1441613,1526044,1631632,1729534,2006428,2032295,2014336,2012187,2101598,2121237,2185249,2220675,2151763,2224451,2412902,2386313,2430996,2383442,2450263,2492759,2527027,2609196,2459317,2384062,2578320,2573050,2577088,2604003,2603585,2557965,2565474,2602095,2616921,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,2303356,2429006,2654366,2745122,2651944,2833510,2889133,2991035,3117841,3084876,3044030,2986038,3050136,3198463,3262547,3308407,3402864,3546263,3654702,3683052,3611596,3577820,3521844,3576121,3687196,3723260,3852792,3923132,4000590,4134763,4169758,4196100,4239697,4370018,4429191,4435915,4504381,4441963,3869746,4151797,4237069,4186656,4144355,4151364,4183018,4245172,4326422,4344804,..
Africa,..,..,..,..,..,..,..,..,..,..,..,185890,194987,210582,225353,254048,277049,293324,305507,334847,357962,369360,378767,375268,396166,423907,447718,464864,485626,497974,501412,511783,484142,495461,499968,525110,564768,577631,615406,620298,632149,672455,711940,703346,749801,762127,802289,837839,822143,809662,866891,862740,890712,891860,914728,890813,893459,927299,949607,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,203062,222984,246668,270151,285851,315346,349790,381175,436723,464947,476078,486943,516128,581803,606452,650326,667577,699818,711029,717649,735923,748674,784091,810796,830380,856166,899438,916981,929185,984679,963828,1024970,1075504,1145801,1184119,1238656,1264302,1290618,1254182,1352563,1385060,1399266,1449162,1368778,1361552,1348014,1329434,1336599,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,28433,32656,39355,46901,49972,55829,52956,54965,66539,60829,61934,74405,82937,108979,125521,124189,127879,145253,147204,157356,159257,180976,203166,214722,223996,245146,261011,266288,281686,299563,314359,338314,371826,386042,381953,388238,423608,469188,488898,545162,600217,622537,669647,691877,592801,689130,694260,741175,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,1799824,1920298,2036254,2165350,2218363,2434651,2506824,2595859,2651515,2632252,2749486,2790637,2880922,3031279,3032172,3113507,3201268,3278970,3264916,3113748,2912612,2583763,2240536,1862950,1807549,1711220,1691176,1597115,1612811,1728961,1765454,1763021,1827320,1873217,1934464,2051168,2061482,2042028,1778497,1905530,1948468,1982768,1925528,1903378,1878709,1874229,1946074,1966153,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,235253,251842,269752,290074,323752,353171,367333,405227,426305,437191,460714,475218,511891,562108,596351,636257,667490,744473,816170,870332,920912,970229,1021928,1117278,1192248,1241849,1312603,1314086,1412291,1521202,1552194,1646150,1756260,1896710,2029356,2193764,2364930,2414945,2491312,2734153,2858382,3014993,3126445,3417498,3487086,3677515,3897323,4182591,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,328208,359885,393894,398149,461084,479614,527389,605218,665215,709884,720029,764521,825736,885632,893311,984575,1087366,1187154,1248498,1264522,1352945,1481116,1643119,1805627,1944817,2053922,2082096,2117682,2187468,2501957,2711585,3063899,3594380,4212450,4893329,5732111,6641046,6951301,7344378,8517427,9566748,10069204,10874347,11389579,11575242,11921375,12427838,13422517,..
World marine bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4414,3798,3182,5400,1735,1314,1451,1703,1897,1822,2668,1408,1300,3341,3280,3193,3683,2513,2639,2596,2596,2358,2887,2988,3740,3787,4291,5000,5278,4482,4579,4518,4738,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,2855,3064,3398,3542,4226,5036,5764,7110,8363,10217,11624,13054,13716,14180,15448,18421,15588,16740,18954,21560,21240,22615,22392,21920,22378,22532,22687,22597,23666,24865,26111,27137,28570,29538,31878,33466,35086,34798,36418,45720,47297,53860,56412,57672,62788,66866,72655,74412,..
Angola,..,..,..,..,..,..,..,..,..,..,..,464,526,619,774,821,367,367,367,396,425,425,454,493,421,508,508,508,511,515,565,688,720,720,724,727,778,1091,1192,1206,1303,1480,1591,1836,1678,2200,3139,2988,4039,4601,5681,5915,6494,8600,9925,10019,10847,11222,12285,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,38585,42088,44932,47016,48874,48946,53701,53680,64750,64300,60718,64332,69296,71784,69336,75236,78692,81472,77443,77206,76777,79132,84913,88178,92833,97243,106736,114278,116075,125431,122562,122630,135400,143996,148133,161176,154814,165330,160193,173902,178970,181940,176141,185029,193561,185227,181372,182754,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11938,11275,6505,2981,2405,3532,2934,2599,2297,2416,2506,2786,2765,2862,3280,3431,3740,4356,4216,3632,3769,3899,4248,4352,5324,5677,5872,5957,5368,..
Australia,36162,38930,41058,47549,54025,61398,65516,71406,75794,83632,93733,70531,73469,83488,95760,97304,99158,103874,106225,112032,117047,122915,125183,123692,140245,155045,164552,172818,187798,204289,213062,214132,216605,223556,232535,234371,236480,242276,263351,272556,277297,303905,315731,259636,263030,266616,272376,284101,281531,283349,295571,293407,288058,286722,286139,275846,278248,269813,273146,..
Austria,24790,25747,26503,27644,29581,30730,31518,31882,33926,35910,37840,39118,40864,43636,45601,42826,45634,46861,47686,49961,51019,61812,61117,61664,60833,62150,62622,57089,59778,60962,64728,65790,64192,63565,66136,68148,65347,66539,68148,69757,74459,77555,77918,80438,88499,86953,90252,92775,89594,86373,93555,95623,96605,98148,97447,98474,101612,101693,103212,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25729,28717,23947,17212,14454,8842,9256,6566,6703,3413,2624,6984,4561,9029,9248,10422,12845,10782,11682,6854,6329,7668,10897,10786,11380,11387,12661,13000,13406,..
