TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,3587555,3982180,4242931,4331707,4740581,5009594,5346857,5686819,5913562,6186352,6350184,6543738,6893147,7229837,7548059,7848637,8241570,8531068,8808523,9066460,9520567,9725893,10257398,10587567,10987485,11476083,11649538,12102247,12466492,12822590,13130153,13593238,14068229,14507010,15173985,15576160,16223309,16561654,16941940,17907165,17987498,18419877,19024304,19310746,19765137,20458553,20821649,21628802,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1986012,2225984,2307762,2319062,2374556,2466889,2630322,2747596,2786008,2930933,2961472,3005514,3101742,3215480,3289817,3398900,3525952,3715513,3803990,3882856,4000788,3949819,4169077,4230032,4351946,4511747,4482565,4660121,4743191,4942760,4997300,5234450,5295643,5369504,5619704,5579705,5777359,5746414,5699606,5991923,5941508,5766286,5852250,5957726,5903086,5934884,5807795,6159835,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,318758,355957,392530,396205,442418,473116,506322,549500,575305,581033,607900,641606,683194,707342,728568,750013,792403,829220,876308,914442,947562,987938,1016545,1093732,1139276,1168690,1192800,1222373,1253770,1291888,1313214,1361511,1378103,1428251,1470486,1467655,1501108,1509046,1510231,1617437,1573823,1600636,1570752,1512610,1515544,1532522,1548365,1507345,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,1002521,1094706,1206763,1257131,1319681,1402466,1473448,1570223,1656616,1700449,1734962,1775030,1843049,1944922,2057368,2120681,2215451,2192573,2232670,2306704,2368310,2399508,2444342,2479993,2511245,2649787,2630833,2689668,2742732,2763253,2856450,2881618,3001595,3054981,3090472,3139792,3124276,3168655,3178987,3309011,3173832,3250956,3240104,3094757,3144028,3201915,3210359,3214863,..
Africa,..,..,..,..,..,..,..,..,..,..,..,53010,55372,61787,67486,72148,81461,89910,97214,103187,111784,122771,127998,134960,145033,157421,178999,191696,200088,215006,226552,237838,234025,251842,259862,275454,299916,314464,329746,343130,352235,390881,392720,425376,453370,494111,519516,552654,574438,561330,605902,637549,666994,695239,719489,774655,800269,828931,871007,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,106636,116183,123646,130756,145242,157950,173869,190807,207828,227372,239414,251582,269752,281009,291787,311584,337295,351770,361613,392155,400982,412758,437483,457279,494964,526082,556506,571694,615092,629316,615676,619351,640634,660211,700571,737816,775458,807142,845777,887627,910285,956585,994162,1044814,1069319,1076785,1057921,1076232,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,16362,18493,21568,23821,28750,33948,39175,46768,59573,68908,76640,92884,162619,190750,219078,236794,255805,231890,252389,270313,271296,314586,357934,370721,383998,400291,424519,465656,484283,503359,537707,571723,608332,643342,744206,797738,843556,909828,972558,1062648,1028693,1101395,1155272,1217610,1292670,1316574,1364974,1360118,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,44658,50278,56333,61121,265651,293782,322376,350860,377006,403618,427324,451732,473828,492775,511024,531954,558216,596858,602381,643422,700164,756784,829510,845591,869676,886362,891517,908245,935338,940520,908632,914042,926668,927902,840374,868722,870034,888145,938891,984593,1005948,1021716,1058778,1083956,1102875,1133532,1180489,1186476,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,38369,41728,46789,49864,61978,68472,76370,94198,104994,115970,128491,144788,163894,184435,201380,217663,247594,273852,304819,338116,377345,418360,461218,512417,571853,619517,676260,745128,784472,844319,898168,946714,1016615,1076897,1139717,1223215,1279865,1338289,1441609,1563811,1652764,1775293,1901704,2052968,2197112,2387531,2514919,2683548,..
