TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,15787537,17077460,18386698,18967338,19453709,20753550,21775104,22914619,23918987,24520493,25120685,25268051,26320219,27936256,28877310,29834827,31252169,32710003,33806380,34928547,36040847,36282129,37002505,37968871,39146928,40428433,41382587,42420556,43696621,45711382,46372298,48004768,49928920,52151850,54482580,56852094,59696573,60663653,60251077,64392898,66386130,68169083,70300111,71702567,72880704,75226318,77256223,80335430,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,5996336,6487762,6934590,7023359,7109957,7557966,7953793,8256827,8461991,8624344,8857102,8637253,8920264,9505627,9751190,9901876,10313957,10819984,11140139,11402276,11920543,11953382,12353537,12708770,13076496,13389394,13616284,14022472,14418792,14987045,14843851,15248804,15489547,15737357,16048080,16100737,16541903,16477668,15760609,16327544,16403814,16258763,16437272,16593365,16573025,16734989,16600991,17214073,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,1491530,1653242,1814263,1824786,1893276,2028643,2128907,2250576,2370031,2360552,2398579,2416514,2559172,2700097,2800084,2855300,3039253,3232210,3439897,3726604,3858236,3937291,4029460,4312075,4458447,4623299,4749762,4799257,4978376,5332698,5366878,5543142,5567068,5784081,5947696,6033179,6261874,6156893,6067144,6421068,6365320,6385813,6397393,6332046,6299454,6384487,6459303,6431673,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,4178473,4476164,4831812,4994226,5015254,5362632,5542423,5818741,6094336,6151453,6171527,6199412,6403529,6698581,6984202,7171945,7460838,7672867,7880173,8093304,8222436,8253148,8292002,8413488,8639939,8906717,9082037,9300042,9501685,9783447,10020264,10138427,10373919,10629089,10808896,11009015,11122721,11208502,10661333,11178747,11040997,11126068,11069646,10846353,11032850,11202593,11329599,11375327,..
Africa,..,..,..,..,..,..,..,..,..,..,..,289368,315112,340916,367751,396864,433192,460746,488722,532872,578401,609408,638798,656082,695174,732553,793649,827219,869112,901577,921697,947988,928966,960214,991861,1030637,1154191,1205947,1213253,1238247,1307112,1327197,1426962,1500021,1570965,1664581,1743929,1839102,1836271,1829635,1958360,1986847,2096662,2144394,2199269,2244710,2307415,2382479,2449627,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,407970,448376,491508,535327,569628,627214,690131,751050,836662,904115,938286,968792,1028027,1114488,1165036,1249024,1308078,1368572,1400033,1448060,1497478,1546564,1622513,1691791,1785438,1872083,1974852,2062192,2117376,2215141,2170948,2243160,2344691,2455232,2562275,2681118,2800703,2890616,2914121,3086388,3209454,3309872,3446687,3454434,3516952,3504515,3456781,3494780,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,60898,70070,84103,96721,110135,128279,141361,161521,204624,230623,258664,312257,360187,430531,470041,511441,548870,581695,608746,649807,659603,748649,830365,874717,908384,960919,1015290,1104232,1175015,1225649,1304154,1389171,1475519,1571248,1656008,1799685,1923715,2044861,2168823,2420634,2495888,2706662,2844954,3028633,3070328,3223868,3331928,3391608,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,2545981,2736230,2919935,3121510,3221428,3404401,3541277,3701876,3811334,3961289,4111974,4205549,4350550,4574628,4656344,4828882,4972255,5089856,5104847,5217863,5056409,4690326,4304560,3876844,3775659,3662517,3569445,3502379,3531771,3604037,3635712,3642805,3750233,3838480,3949979,4134770,4239232,4295654,4040224,4296598,4389406,4441880,4445285,4406585,4378844,4415754,4543072,4606194,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,387032,418399,452545,481025,532404,581742,623174,690570,734195,776851,816224,868039,939838,1033265,1111360,1206252,1315170,1462723,1611767,1749118,1899713,2036354,2195420,2404987,2604604,2740932,2944256,3063028,3188218,3393871,3511897,3724200,3967301,4234151,4520290,4860392,5171242,5363762,5623859,6130015,6437660,6827126,7162279,7707233,8051566,8656470,9058126,9573926,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,429948,472104,517025,522634,604764,629482,693292,794736,872942,932864,958921,1021435,1102572,1183864,1206500,1316459,1466528,1612984,1719202,1719817,1978441,2187450,2414434,2694337,2867324,3118381,3224714,3353702,3547141,3862382,4191397,4648097,5460620,6331248,7324776,8489268,9796082,10389424,11185330,12573544,14056744,15016237,16352201,17134650,17712976,18796226,20093943,21798221,..
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Albania,..,..,..,..,..,..,..,..,..,..,..,3971,4349,4648,4738,6062,7618,9155,9616,9515,10415,10451,10415,10386,10386,7920,14875,12316,10757,11246,6055,4590,5065,5940,6617,7290,9943,7574,8050,15552,15314,14627,16031,15743,19170,18587,12517,13212,16625,19357,20423,20365,20736,24818,23483,21229,19796,21443,21906,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,5879,6426,7304,7999,9418,10843,12060,14540,16423,17831,19998,23047,24703,27756,30157,32814,31399,33890,38552,44352,45468,49356,49172,50382,52218,54126,54709,58421,63029,66931,70790,74660,81716,84989,95962,95242,100768,107831,100480,120492,129121,146797,155369,164704,180551,188237,202957,209354,..
Angola,..,..,..,..,..,..,..,..,..,..,..,1865,2110,2480,3100,3290,1476,1476,1476,1584,1699,1699,1814,1969,1685,2027,2027,2038,2052,2063,2120,2254,2293,2300,2311,2322,2484,3481,3802,3852,4165,4727,5087,5864,5486,7128,9904,9450,12715,14486,16870,17550,19267,25513,29441,29718,32177,33290,36444,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,72421,78080,82609,85936,90400,93510,99652,102110,115794,120463,117752,120064,127876,133924,131854,142409,151470,151592,143978,145670,152233,162576,174845,188554,201622,212314,228262,247129,256727,270551,274532,269600,287543,304351,321808,343760,359798,378569,379256,398138,417298,426146,435398,454558,475524,475024,464480,463582,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32476,31086,22457,13763,11650,10976,12287,15368,13000,13100,12928,12528,12298,13219,14303,14983,16301,17158,17532,16157,16801,18544,18432,19454,19267,19339,19181,20243,19449,..
Australia,63184,68724,72666,81767,91166,101232,108436,117929,125212,137599,151240,162972,171943,188863,209153,221324,229824,246740,257126,271818,285235,301918,312818,315522,336445,353052,375257,392645,416819,441569,465170,474178,478634,492746,506081,521564,536252,553936,587462,606622,621896,649433,688021,665770,681541,681221,693461,725605,728503,743364,756018,764053,755701,755442,748242,760741,761990,759884,768035,..
Austria,41029,43160,45850,48697,52438,55246,57629,59706,64069,68994,74063,78494,84604,91076,95083,94568,101664,105253,109771,114725,118858,118030,119268,121766,128390,133625,135454,140220,146034,150498,153961,161345,159617,161849,164178,168163,173920,176054,178956,183107,185548,193010,193874,200221,204397,206998,211080,212848,213896,205901,215403,215264,218202,220278,216693,220263,223339,226406,227068,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56912,58295,51138,48240,44914,46224,44219,43898,48013,51080,52002,54252,52157,59263,60991,64912,70697,57038,56038,44132,44046,47761,55418,57535,60865,63428,63425,61506,64121,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,1548,1620,1800,2070,2520,3240,3996,4363,5306,5976,6530,7232,7978,23458,24613,24923,23324,25034,25834,27133,23760,32890,40828,39445,41296,42757,44266,46642,46951,47081,49644,51962,54378,55451,66254,71554,73580,75110,73858,79913,81990,83952,88247,94270,100130,99706,99857,104353,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,2430,2430,3596,4003,4104,4219,4586,5605,5602,5062,6282,7301,8633,9734,10231,11905,12542,13583,16906,16942,17532,21679,24865,26809,30132,32386,34013,36749,40867,44885,50407,54878,58799,73760,79913,91004,96919,101138,111280,124276,133592,144864,154364,172606,186325,213048,237099,253473,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142891,143651,127912,113245,100415,91123,91796,96350,98687,97679,96466,96178,94954,96185,98082,99655,102492,103352,105944,99688,105775,107626,109361,107766,108792,105437,105754,107827,110534,..
Belgium,41015,42901,46991,51239,57679,61765,65826,70182,78646,86746,94032,100285,111902,123134,130489,123005,135198,140951,148205,157540,156053,156308,155527,159905,167598,173891,177581,186559,194699,201557,208742,217858,225299,227880,239209,246413,251554,258584,266256,268229,279151,281311,282409,287035,290192,288727,297382,298433,297670,278118,299920,290131,294167,298904,292184,294003,296077,296204,297918,..
Benin,..,..,..,..,..,..,..,..,..,..,..,115,130,205,191,209,230,259,583,324,371,439,248,533,486,515,493,504,608,587,626,680,745,778,810,889,972,1076,1044,1246,1436,1566,1793,1750,1962,2120,2210,2419,2693,2830,3074,3060,3172,3352,3506,3956,3856,4102,4258,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,2736,2934,2995,3200,3413,3676,4072,4378,4666,5090,5458,5418,5386,5461,5407,5296,5375,5778,6156,6476,6977,7366,8129,8824,9518,10220,10994,11704,12319,12499,12820,13367,13630,14299,15397,16157,17478,19361,20243,21665,22154,23814,25063,26611,28350,29524,30148,30422,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36580,23519,13810,10195,12395,12978,14875,17525,20686,19559,21096,22824,24437,25952,26618,27842,27961,27914,35942,34067,37249,38837,39949,39359,38113,38430,39917,41033,41242,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,151,205,299,817,986,1159,1184,1397,1620,1624,1825,2038,2185,2203,2232,2329,2412,2664,2711,2862,3208,3550,3758,4374,4547,5094,5368,5429,5756,6372,6937,7358,8078,8730,8496,9454,9356,9803,10505,11189,11225,11513,11916,12416,12582,12524,11808,11552,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,152622,170647,194958,219150,242086,274324,308329,343750,385434,426722,438109,463147,499968,555451,602424,650574,670961,710464,740549,758952,783346,801367,839624,871340,923422,967187,1027962,1070647,1099184,1156172,1074870,1125828,1188734,1248286,1301976,1351364,1421500,1475482,1466176,1576303,1647346,1702555,1753801,1802794,1769940,1771682,1796317,1828126,1849490
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,774,774,763,778,778,778,778,778,778,1069,1476,1768,2124,2336,2387,2419,3244,3409,3521,3643,3730,4122,4878,5468,6329,7175,8356,8701,8456,8838,7970,8284,8845,9292,9493,9468,9893,10022,10336,10490,11030,11549,11358,12085,12208,11617,11301,11824,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,62622,67954,74657,79553,84607,91253,97538,104108,107568,106852,118332,126104,131530,137167,126313,133297,134507,137459,136483,126979,108641,94208,94352,95389,103280,107604,96898,94108,85655,87304,88535,86692,90482,89662,92578,96797,97967,103169,96649,97571,102316,100242,99115,99626,101974,104033,107671,107616,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,432,709,875,1037,1235,1375,1570,2214,2300,2534,3089,3791,4748,5623,6401,7337,8532,11642,12632,14609,17942,21791,24386,29573,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,3668,3845,3888,4424,4691,4579,4406,4550,4669,4846,6343,7297,7272,7182,8111,7801,8014,8363,8647,8442,8402,8500,8849,7967,7841,8330,9061,9140,9652,9785,9475,9133,10105,11952,11902,15253,15181,16772,16783,17507,17172,17892,18749,19735,21985,19735,22301,23752,..
Canada,350928,356148,374789,392800,433613,471305,511520,540047,576871,622242,661403,693958,751039,792263,860558,844834,905630,973116,1017731,1042362,1091556,1126102,1119334,1172156,1262002,1319270,1380560,1406974,1475762,1507529,1504948,1519186,1522393,1554268,1574705,1607998,1631059,1651954,1641521,1677244,1733414,1729807,1761599,1803092,1824311,1757815,1724540,1760670,1745874,1704060,1716034,1747595,1726538,1775095,1803406,1793970,1778864,1849414,1887732,..
Chile,..,..,..,..,..,..,..,..,..,..,..,25481,26928,26276,28318,26392,28091,29534,31536,33667,35168,36292,35672,36950,40014,41533,44024,45832,49651,53680,55760,61034,69530,73285,77940,87091,97006,105649,111434,125143,132307,142286,147413,160078,169402,173934,182905,190915,192629,194522,197057,208555,224082,234724,241733,241225,252616,250645,262922,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,411048,452628,495396,501336,581645,603295,663509,761958,837392,893556,917316,976680,1052064,1129716,1149178,1252879,1389276,1530486,1638616,1634018,1887304,2093317,2314616,2589275,2759843,3004492,3108632,3228246,3421854,3731695,4057247,4510973,5322172,6190038,7180592,8344055,9649001,10242068,11035951,12422686,13905144,14861167,16198855,16976513,17554723,18637567,19936178,21638935,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,31748,31378,32173,38020,39247,42876,44435,49327,53683,57485,59047,64037,65488,70780,71442,80428,82296,85298,92678,96718,99619,104429,114062,120132,125449,130338,127566,124142,115394,120010,126684,127447,132365,138841,140134,146250,152050,154984,166892,169870,179546,183114,201334,211057,215489,216536,221673,222641,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,263,277,310,331,353,374,392,400,439,500,342,652,468,990,486,1278,1307,1192,1235,1246,1397,1368,1202,1174,1210,1253,1044,832,536,914,958,1105,1087,1102,1238,1404,1512,1555,1732,1800,2182,2851,2887,2873,4745,5180,5597,5693,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,3593,3964,4194,4565,4766,5144,5494,6073,6455,7070,7744,7456,7855,8662,9212,9947,10652,10904,11232,11887,12269,13147,13993,15127,15628,15991,16913,18407,19566,20711,21694,22860,24149,25204,26492,28123,29617,30269,29927,30830,31223,32468,32771,33145,33937,35226,35642,35959,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,1764,1976,2275,2437,2747,3186,3550,4039,5195,4993,5393,5558,5530,4270,5094,5310,6199,6595,6282,6498,6232,6660,6502,6836,8510,8312,9058,10123,9767,9925,10660,10566,10656,10840,10955,11880,12524,13410,14076,15484,14486,17726,18166,20020,21683,23393,23053,24926,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47891,41504,34222,33736,34535,35716,37022,39798,39924,42138,42599,43204,45727,46699,49327,51901,54284,55382,58093,55840,57103,56646,55260,54259,53399,55235,55080,57523,58231,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,14072,14656,15797,16819,18450,20048,21830,24372,26690,25697,30589,32616,34200,36756,33944,36626,37548,39398,41029,43016,37382,32382,29905,32105,32879,35258,37735,38099,39776,42246,43128,44233,44755,44161,43506,46566,49410,50310,50735,49414,50494,52362,54562,55411,58172,58622,55765,56121,..
Curaçao/Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,1915,2023,2088,2153,2200,2214,2196,2225,2261,2293,2293,2358,2383,2207,2052,1620,1818,1847,1980,2171,2210,2387,2588,2740,2844,2977,2974,3150,3143,3139,2988,3002,3175,3251,3352,3272,3373,3334,3485,3553,3560,2567,2441,2480,2488,2574,2648,2579,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,2099,2430,2650,2286,2250,2513,2729,2923,3125,3287,3355,3600,3798,3906,4248,4572,4835,5288,5965,6448,6757,7628,8312,8683,8003,8276,8575,9414,9965,10786,11196,12186,13126,13498,14257,15006,15787,16684,17105,17576,16997,15874,14117,14276,14729,15838,16350,16793,..
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,96293,101444,106193,110970,117025,122018,126508,132523,130082,136336,139295,140764,144659,149828,155783,159995,166000,168757,171364,173437,160078,156186,154883,161885,173095,181022,178686,175950,173239,177772,183172,182963,188665,188474,192964,198810,199318,202090,191246,195203,193144,193982,191581,191578,196117,201067,206565,208810,..
Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,45270,47876,50494,53118,55735,57499,59267,61034,62759,64764,66647,68825,70700,71971,76748,76871,79528,85280,89402,84809,80521,70200,62809,65178,64400,59152,53129,46040,50533,52178,54328,53186,56473,59098,61625,60343,57892,62417,56826,58270,51718,51743,49320,48190,36979,45565,40123,41511,..
Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,13151,11560,12488,13039,13104,13003,13068,12319,12049,14321,13205,13007,14116,14818,15869,16582,16488,16974,16963,7409,8082,8626,9792,7200,7441,7319,7326,7344,7715,16319,16600,16042,16643,16762,17579,20671,22072,21960,23954,22547,24185,26579,26172,28436,26158,25204,26003,27421,..
Denmark,16664,18551,21150,23371,25578,29063,31619,34240,37480,41850,46440,50040,54637,57960,55091,57064,63623,67381,73559,77461,77857,78584,80086,80654,84863,90324,94734,98352,99886,100825,102132,105325,107100,108587,110722,111186,114152,114786,115405,115870,116845,117238,117050,116518,118703,120463,121630,120514,119243,113202,115409,113972,112252,111982,110790,110912,111939,112642,111904,..
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,3845,6073,6491,6365,7196,6991,7873,7744,9338,8878,8917,6743,7621,9626,11052,10552,12154,9418,8622,11174,12226,13687,13129,13838,13298,17438,17726,31381,37267,39269,39413,42268,43124,36486,39978,42545,43618,43801,40885,44122,47200,50724,53500,51552,53831,56131,57191,59073,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,3006,3247,3510,4226,4856,5692,6530,7870,9130,10343,11178,12053,12643,12974,12431,13691,15026,15491,15700,17248,18947,19724,19930,21856,22997,25423,28087,29498,27792,28451,29020,31842,33905,38743,41310,46228,46559,49007,54227,58648,63475,68958,72324,77051,81180,82940,86304,89670,..
Egypt,..,..,..,..,..,..,..,..,..,..,..,24797,24894,25031,28267,31828,36662,42854,45292,49763,55897,62550,70484,80017,85396,83387,102643,109998,115610,123174,130327,136710,140432,146743,153227,160398,176900,189468,203508,218902,232729,248998,266832,286711,306317,331506,354395,383742,402170,428051,450572,448999,504925,516906,527922,561136,547823,566525,584166,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,2243,2423,2783,3020,3254,3629,4097,4565,4835,4529,4320,4288,4691,4925,5180,5371,5699,5980,6066,6577,6977,7380,8478,9245,10022,10462,11340,11671,12143,12791,12780,13741,14238,14296,15617,16909,18241,17986,17759,18086,18608,19379,20329,21420,21596,21863,22146,22395,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,54,58,47,79,65,79,72,76,50,65,104,148,166,86,104,144,104,104,104,104,112,101,115,119,122,108,90,112,130,313,277,554,587,720,785,911,1055,1073,1231,1440,1735,2545,4450,5098,5170,5177,4934,4632,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,421,421,472,522,547,594,547,594,601,659,724,770,785,814,770,828,817,871,922,976,1022,1051,1073,1091,1109,1147,1455,..
