TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,406649,425804,443617,458766,499180,496544,513328,526428,551236,580421,580597,585720,598162,622267,646870,663631,680746,702976,716666,877674,856770,819997,781546,758928,755272,771814,769940,755064,760995,785319,801635,839495,891942,919630,935628,962926,1005349,996655,996114,1061952,1130766,1148402,1174375,1190214,1205568,1269923,1325577,1403627,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,24952,26014,29056,28213,26420,23209,23792,18684,21492,21647,21604,20023,20556,23958,27252,27853,28624,30150,29981,30283,29624,30650,31075,31698,32065,32288,34621,38059,37922,36947,36914,40950,41314,42149,42538,43819,44806,45918,43283,43643,44388,45864,51912,56390,64120,72950,75581,80879,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,44269,47963,50609,51566,53784,56200,57211,58198,59465,59569,60782,61794,63349,63295,65639,67543,69494,73955,78124,70896,74853,75193,76882,78478,80693,81069,81684,81160,81983,82850,83466,82856,86698,88811,90080,89581,90364,89772,88402,86982,86041,86609,87806,87225,92057,94709,94570,95223,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,133668,137650,142337,145368,147406,153972,156049,161075,167929,172692,173783,173243,177862,185468,192521,199278,207529,213383,216608,220824,225482,224953,232092,238018,242449,247878,248598,249091,248465,257284,258957,259708,253196,237481,237891,231933,228448,226539,222092,225172,231172,232109,232940,228281,231853,237845,241532,243887,..
Africa,..,..,..,..,..,..,..,..,..,..,..,12143,10379,10832,11639,11750,12557,13234,13147,13874,16193,17453,18288,16394,17348,17482,17705,16196,16441,16996,16369,15574,19238,16830,18065,17885,17883,19041,19417,18643,22164,23601,26198,23909,25550,22995,15933,27679,16176,16445,16625,17615,20102,19555,20012,19717,20876,19790,19178,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,3521,3492,3470,3485,3553,3712,3676,3658,3816,4234,4464,4903,5440,5756,5843,6030,6480,6588,7063,6865,5864,6217,6041,5965,6350,6433,6628,6948,7214,7970,7592,6678,6764,8950,9749,10890,11772,12326,12380,20444,26298,14638,14263,13925,13856,12870,13592,14067,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,47,65,47,50,324,389,518,612,886,1015,1076,1274,1336,1030,1307,1976,1570,1715,1715,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,177721,188770,196398,207508,243252,232520,243875,255362,266699,287496,282013,286229,290891,300164,313250,319115,322888,328511,331909,494719,463864,416315,367171,330696,316933,311342,303217,290246,289840,285286,287147,311051,339138,357570,372683,384206,389930,374425,359478,375091,400082,400100,390118,384961,351209,350774,336990,354239,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,5987,6703,5627,5634,6804,7934,8406,8168,9022,9050,10022,10476,10782,11372,12092,12607,14058,15890,16070,16348,17860,19969,21949,22910,24109,25711,27324,28811,31910,32843,32404,35104,36490,37886,42973,46346,48607,52934,55696,61261,65189,65408,71089,73645,75272,73033,80886,85256,..
