TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,4855878,5040180,5342125,5344966,5810603,6041963,6286441,6561695,6795690,6832741,6909237,7238729,7444800,7837241,8170858,8355192,8604264,8894073,8951283,6867687,7011086,6719495,6958212,7089568,7301218,6708980,7255526,7188764,7192265,6246436,6309263,6494200,6573056,6993782,7300740,7444787,7490553,7472759,7388708,7651304,7987669,8033125,8046160,8138435,8272005,8381390,8697545,8989873,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,749696,733832,785599,729952,738169,752943,754318,797591,850975,770657,744501,710894,745672,752332,926555,904041,878814,908254,884265,832883,836866,897880,873389,883439,891937,926489,945246,885817,850342,885080,925487,1124231,1066380,1204867,1275607,1373585,1324823,1296195,1230333,1296229,1284737,1231518,1289408,1258972,1318643,1308627,1352611,1394971,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,148482,149318,175425,154088,147226,153220,167467,194803,205630,220160,214330,390638,396076,447037,434214,459348,488985,525256,529413,301036,311873,325299,336712,354885,374180,396005,405706,382390,400525,418218,429526,427460,380384,372605,370122,344015,345216,322844,347338,350557,338710,347693,342325,323091,340345,354982,350429,353483,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,742442,794935,869545,835718,855924,889812,945718,978797,1027963,1098936,1055543,1061009,1054374,1167035,1206710,1238033,1265837,1311305,1281879,1347699,1373568,1339537,1373711,1369842,1378536,1415550,1376008,1361312,1285509,1270138,1254714,1227478,1229267,1279843,1295586,1239859,1236210,1279256,1237825,1298161,1279954,1236949,1244783,1235040,1186825,1224367,1258413,1363247,..
Africa,..,..,..,..,..,..,..,..,..,..,..,92483,97690,103391,107082,114311,121347,127039,132102,131711,135255,135501,137749,139624,145237,136392,138170,139997,132004,131623,145602,173740,174182,194687,208674,215843,231575,231367,232575,249921,243720,248410,247298,255160,289003,342024,354901,376887,372604,392051,404008,418171,429311,384128,398919,411882,412677,434463,436974,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,308329,315948,315051,321333,350870,361018,369065,368214,378616,387321,387316,395283,392887,396572,415706,417489,439813,451878,448720,416672,416936,444016,456155,492393,516730,532918,539746,529454,550628,538725,546164,555051,581894,618749,639181,631999,670000,695834,670206,705394,720833,736437,709722,716712,736605,734682,762697,749488,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,30638,33744,42010,47435,58615,68178,78833,79362,83278,99381,95730,111586,133187,142746,163910,152979,168710,171569,183580,194031,214845,241765,206225,213101,216043,218565,212307,235555,221853,228378,227521,227953,243872,257415,278786,301451,311408,340958,319850,323402,325655,331284,343596,349851,347134,343458,370995,373533,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,2162339,2233776,2304971,2371048,2710659,2830243,2899550,2971309,3041434,3104700,3274697,3348448,3453147,3572415,3648070,3712479,3798711,3879806,3959188,1863344,1825385,1413515,1579390,1519615,1465139,1213423,1134295,1005802,957878,912208,872180,784580,766069,733859,765035,733625,785698,776146,676221,661371,807695,773372,658942,684913,668685,671042,681328,742466,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,139310,149081,167764,174219,171607,183395,194450,214545,227768,227105,219480,282643,298169,319247,349003,389033,440926,484608,514653,546465,592606,646533,694832,753241,818139,846125,917355,954107,996568,969241,965182,987824,1006723,1053081,1021378,1082044,1077931,1066839,1144276,1178693,1309290,1393965,1419668,1469825,1524740,1537519,1625158,1683091,..
