TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,13933071,14835708,15382108,15136268,15830301,16727588,16869691,17611892,17780620,17539202,17263361,17387695,17583937,18407423,18347083,18611960,19057731,19942225,20122768,18855265,19409342,18846722,19970293,20470199,21049545,22254619,22295272,22374674,23322290,23236863,23625239,24047331,25117234,25999713,26913771,27334611,28343801,29333649,29103643,30035188,29922907,30230508,31354129,31268517,31871022,32529814,33032588,33855267,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,6796118,7034580,6968118,6869238,6735679,7314458,7258450,7305274,7238569,6823124,6718245,6884649,6902412,7173170,7132407,7070040,7279477,7636570,7777572,7520420,7620814,7646358,7886266,8015454,8258566,8537253,8679716,8531283,8726370,9213576,9214209,9436326,9577369,9670088,9543277,9376580,9714556,9822664,9758028,9835583,9819219,9376234,9856299,10118907,9964868,10007978,10011718,10474188,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,765351,848752,951938,965435,996051,1020811,1054063,1116981,1119550,1099765,1172344,1294557,1347206,1413373,1408655,1471280,1522464,1686627,1777998,1966000,2104384,2269309,2474689,2612008,2817178,2888142,3030727,2991906,3201171,3205898,3227252,3363682,3371536,3474281,3558169,3535079,3598337,3539813,3407684,3452791,3429570,3353876,3459894,3417599,3413140,3415518,3433177,3397134,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,3269906,3675602,3998480,3642962,3713465,4052718,4040977,4471894,4516293,4387516,4201809,4056293,4118357,4452244,4247962,4424309,4494724,4587927,4393045,4775862,5043836,4908420,4911447,4888849,5018415,5456979,5255817,5333150,5465974,5347028,5649092,5576932,6117175,6272090,6349376,6532167,6281846,6846213,6790515,7042979,6524748,6741694,6809308,6345951,6678122,6816061,6877743,6747574,..
Africa,..,..,..,..,..,..,..,..,..,..,..,126572,150315,155582,163208,170863,179515,178517,189025,190013,195596,207097,207958,213604,232016,218407,212451,217109,234342,241462,323084,331140,317006,335763,348387,360164,408999,459605,437689,457701,474291,497290,503140,529112,586680,621269,684074,729281,753783,767535,752675,782995,910473,933587,951748,970361,1031365,1080246,1090549,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,154342,160092,180321,194570,199154,215723,230054,238938,256307,273594,282168,299477,310956,324965,335364,378478,399376,431515,438651,451586,446178,458906,483957,507923,540470,561788,598026,655069,679394,709216,693861,734399,746974,770194,793765,811561,952360,906777,928865,969098,1019631,1075374,1116828,1145819,1171929,1150018,1170121,1183783,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,54647,58727,66378,77549,83787,95905,111193,112716,122007,133475,143986,153543,199314,226696,227907,239363,255201,256240,275426,273205,289130,325948,350776,413624,407023,454978,453683,488634,500113,524944,551549,573142,619173,663255,717658,779844,832318,872193,905623,1004123,1016250,1156204,1194087,1268534,1369821,1407428,1397867,1510436,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,2241957,2383752,2517742,2666605,3341432,3235962,3348130,3486441,3593982,3895385,3796256,3717157,3666306,3703280,3748828,3799843,3835648,3913578,3939723,2125426,2049917,1306523,1683409,1824875,1692168,1570587,1517719,1620477,1751097,1540424,1445805,1407146,1505204,1565987,2182113,2255081,2585850,2871570,2596202,2655701,2665063,2591622,2717842,2668006,2643073,2759238,2867506,2836627,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,342848,336541,352546,358843,381539,400209,413919,435815,481147,466770,493894,496975,526846,571444,573002,550943,551489,617714,644083,714162,768138,787796,813141,866291,904367,986688,1034014,1004510,1074211,1134866,1185639,1244935,1291081,1350908,1428717,1493570,1611715,1676118,1756413,1896584,1952206,2070005,2117539,2128245,2233291,2386651,2494869,2639113,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,181330,187346,191004,197858,208329,212287,234389,254809,262751,263977,247564,277086,298935,310235,454551,465253,502242,577712,634807,705521,755805,826455,1030845,992789,1051196,1389205,1265963,1311955,1466259,1086620,1160542,1207630,1359611,1646231,1719425,1866655,2037537,2044519,2192777,2425655,2713224,2955026,3148745,3223708,3426417,3555557,3699342,3975863,..
World marine bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,144,119,133,6565,5602,5480,4345,9302,8091,8549,5927,4093,6638,7115,6605,6813,6573,7928,7429,8160,7423,8847,8914,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,6518,7406,8353,9161,10809,12154,13318,15341,16996,17056,18707,20568,21932,23302,9579,4607,6781,6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7269,8163,8888,10009,18389,20264,21855,22559,24215,23827,..
Angola,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,3665,4462,4419,4673,6101,5796,5360,5664,4888,4512,3950,4726,8105,7748,9740,12757,10001,10563,9862,10162,10753,8182,16332,19593,25241,29890,32929,36490,38246,48334,48119,41837,36840,26227,22906,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,41613,39978,51329,51105,55546,60877,66457,64815,66161,66733,68711,73223,76547,88802,81293,99537,108222,119793,115971,107685,96047,94141,95495,93752,95847,99060,102857,112513,118138,121435,126105,127766,135648,144909,154545,154678,173457,172454,174383,177022,183325,187678,195057,190287,205273,192672,195668,193750,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40517,22208,2359,965,4057,3741,3892,1462,1155,1048,1120,1138,1354,1458,1736,1860,3366,3882,4351,4116,4225,4793,5077,5107,2498,2930,3080,2900,2802,..
Australia,0,0,0,0,0,0,0,0,0,1885,11480,38685,42790,47232,81679,84173,86342,90355,91961,95850,100579,103052,105804,106643,106869,111176,116122,121775,129450,136836,145746,151262,154770,159025,162572,173555,184329,190308,199244,205124,211023,210524,235558,254855,260584,261064,264648,278428,281992,290982,291878,296321,297161,305924,312095,327745,331154,338159,345514,..
Austria,5988,6288,7036,7738,8511,9055,9570,9862,10625,11961,17018,15382,19067,20760,21696,26182,30769,35170,37120,41318,76710,67667,71670,65612,64457,77843,82683,81843,67456,66926,70713,79817,84599,87535,83810,94956,111110,113287,111979,121368,106625,123078,120557,133518,131650,122163,125130,111185,121212,107729,106788,102741,101363,99087,96310,98552,95434,103647,98863,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33784,24062,19467,21696,19751,16167,11879,11500,12452,13121,27810,20796,17754,16264,9998,11263,8730,17717,19080,17814,18015,20757,23992,25935,27082,28582,24935,28703,27384,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,2725,2822,2725,2909,3010,2970,2200,2934,3510,3834,4252,4468,4507,4968,5360,5537,6145,6156,7337,7405,7603,9299,11005,11426,12575,16992,16283,16384,17478,19872,22108,21524,19483,21899,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,48,48,78,116,184,266,353,526,895,1874,2444,2671,2767,3145,3432,4594,5134,5568,5837,4816,4748,5291,4870,5306,5406,5684,7156,7588,8026,7316,8001,8538,9154,9913,10284,11450,11927,12464,14485,18666,17275,18055,18644,20354,22393,24627,26770,27908,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,171329,156531,161018,159909,118358,110471,124156,103015,91923,105960,91075,86393,78833,86077,85884,87428,87415,82303,76688,87874,90123,82441,89361,89287,89590,84479,86349,86071,88883,..
Belgium,19954,12078,11024,10235,16776,18089,22977,24822,26575,27988,35968,38036,43108,44549,30695,69178,123599,126290,136366,143884,124589,116028,110437,105335,100048,108899,113345,126503,121694,116674,120416,135983,138051,138865,138393,144983,165712,156993,158816,154831,145542,152848,158652,167364,171213,172583,179648,162701,195590,190125,206885,184062,188621,205035,176058,191483,192635,192202,192266,..
Benin,..,..,..,..,..,..,..,..,..,..,..,4010,4100,4183,4277,4373,4473,4573,4648,4744,4861,4982,5096,5235,5368,5497,5667,5810,5959,6138,6287,6433,6580,6762,6907,7062,7227,7736,7988,8223,8599,9011,9187,9516,9860,10068,11118,11480,12021,12449,11129,11471,11897,13130,13656,13885,14334,14781,15256,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,299,324,342,382,421,461,472,526,590,637,691,695,655,695,756,792,954,1066,1076,1138,1307,1418,1562,1750,1986,2516,2675,2766,2989,3279,3427,3651,3779,3963,4266,4659,4874,5213,5610,6168,6834,7166,7764,8435,9106,9705,10140,10716,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3838,4352,2225,1364,1663,1735,2232,2682,3136,3251,3780,3858,3899,4244,4374,4846,4835,4828,310,0,0,0,0,0,14922,14989,18219,14882,14587,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,43,43,43,43,43,43,43,43,43,43,537,553,603,616,638,638,761,829,1026,1026,1288,1645,2105,2221,2308,2162,2148,4710,3318,3968,4005,4164,3215,2761,2423,2444,2634,2538,2541,2876,2832,3178,3448,3664,3721,3822,3962,4156,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,58933,65735,72669,78351,86133,92375,96598,103699,112368,123518,126371,133154,140934,142460,149382,156289,165531,180970,182410,195257,197272,206022,212962,235105,254809,260571,283943,305758,325930,342776,328356,339872,343415,354062,372482,379896,396912,408219,414114,433636,455171,478977,499441,527612,525831,519220,522465,531889,550134
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,335,335,331,338,338,338,338,338,338,464,641,767,922,1015,1037,1051,1408,1480,1530,1584,1613,1904,2473,2938,3618,4417,5479,5821,5659,5911,5263,5814,5972,7204,7596,7664,7992,5011,5245,5591,5890,5965,5857,6534,6602,6152,6111,6435,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,5511,6885,8356,9804,10965,10214,14450,18757,16578,16263,19381,21181,23107,17504,16675,17811,18963,18135,7871,66513,31299,22381,28016,36297,29429,32273,25415,27194,28450,27527,32298,31249,31919,29374,34494,39400,37431,39992,39279,41413,43851,42824,40420,38814,42031,45049,45211,47684,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115,176,212,274,310,392,486,619,680,695,853,1044,1354,1609,1696,1958,2365,3218,3492,4039,4961,14780,15150,17662,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,15713,16105,16464,16855,17297,17807,18361,18956,19561,20130,20692,21326,21894,22448,23121,23641,24302,24909,25557,26179,26874,27648,28402,29218,29200,30122,31057,32017,32832,33483,34193,14484,14961,15489,15774,18014,18377,19245,19909,20129,20729,21421,22213,23190,44035,44998,46360,47655,..
Canada,214214,236322,263361,315914,351069,402201,451797,506788,578543,632438,671226,695728,788937,707227,752371,707936,764889,813192,782616,789397,765707,782736,870682,856107,870613,865446,870977,821096,882262,931547,770044,794035,806105,835385,834829,858860,878814,897530,855804,888254,962144,948281,1045038,1080574,1076325,971556,919292,952668,968925,967380,948464,992381,955016,986941,1037075,1017667,1016348,1078695,1113605,..
Chile,..,..,..,..,..,..,..,..,..,..,..,3928,4351,4498,4925,5054,5466,5196,5677,6050,6242,6914,6937,7408,8667,8025,8101,8135,8846,9623,19997,21099,22754,24020,25476,26621,27531,26117,22473,24126,26076,26923,29230,34077,39267,38859,40687,43495,47412,48377,57252,66380,59918,64082,65449,67269,75253,83551,79916,..
