TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,58570542,60736168,64256628,64822369,63080655,66622725,69968993,71737102,75114041,73963613,72533237,70215384,69928113,73129749,72410250,73336684,75547856,77845897,76666511,75492380,75112584,73667192,72832442,72631404,74989282,74141724,74842939,74862379,74844289,78347741,78187556,78400039,81676459,87861241,93655682,98232775,102055756,103202616,100649986,110449745,113935046,115476262,115800239,116602441,116573868,116499281,117465555,118876372,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,17618243,18159057,19091052,18457252,16275168,17105024,18287204,18106705,19493437,19363693,18962090,16863267,16158043,17713545,17622631,17180099,17868038,18436642,16251733,15078916,15079714,14830442,14875241,15214913,14830206,15053298,15620884,15695847,16376620,17669353,16504580,15237007,15360458,15919444,15307361,15876232,15698076,15374425,13661850,14850506,14738335,14818712,14884520,14842499,14834988,14879201,14820616,15505817,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,4763195,4976464,5426058,5399451,5103113,5304056,5245326,5150324,5385844,5139215,4928851,4901961,4829901,5087650,5133209,5039898,5183536,5470597,5702569,6353100,6451209,6400204,6504730,6743642,6886373,7009649,6956777,6555171,6769228,7185665,7078392,7125564,6973365,7075367,7069835,7147028,7194709,6858252,6505563,6916392,7040082,6972978,7108182,7013637,6817489,6743017,6767620,6749156,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,14408145,14736677,15602527,15553229,14657982,15230022,15438910,15377211,15949489,14923456,14145215,13443290,13415087,13694795,13737299,13446733,13720252,13847371,13888093,13820331,13334475,12845902,12587279,12621759,12862493,13104729,13281206,13190698,13088262,13616265,13398504,13381256,13802402,13767013,13698602,13590060,13783131,13148590,11552930,12411716,12395868,12226212,12068152,11889281,11926794,11992395,12422482,12518484,..
Africa,..,..,..,..,..,..,..,..,..,..,..,1200773,1266841,1369414,1415932,1500314,1645977,1690113,1714118,1828895,1933639,2018543,1953236,1858778,1901968,1977072,1976273,2102822,2159540,2187584,2216284,2160532,2121636,2063552,1986360,2070508,2221521,2305687,2370067,2375320,2384991,2543399,2645309,2740082,2824206,3149099,3280679,3403749,3440336,3544240,3593380,3627295,3584204,3769077,3707495,3694980,3687606,3654382,3804202,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1952839,2002745,2187835,2345804,2346849,2538702,2710489,2801580,2978781,3062694,2910394,2931326,3003297,3194207,3157009,3269857,3493900,3463632,3541713,3528404,3547079,3526918,3627952,3837694,3940346,4144084,4365285,4465543,4466521,4543298,4584381,4705735,4836329,5106258,5226891,5389977,5389295,5480698,5201370,5834176,6020182,6029147,6083118,5917593,5669193,5617774,5627624,5483676,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,355570,371470,460084,511398,578437,623319,720307,795958,1088532,1215229,1330222,1444396,1429507,1194967,1297746,1341357,1446942,1520391,1753608,1902452,2160364,2247860,2169783,2445339,2595178,2610348,2659905,2740092,2888350,2896050,3039040,3164650,3255815,3366076,3576821,3809490,4388091,4776097,4939681,5520476,5710244,5910148,6002828,6285695,6348296,6514660,6620400,6699379,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,11000845,11565363,12236703,12913256,13416631,14373619,15025630,16062794,16590645,16517268,16518832,16368757,16336449,16468277,16106552,16924771,16872768,17356206,17461360,16351517,15559001,14208495,12559084,10314703,10447396,9249313,8723950,8135649,8125702,8565914,8676884,8631117,8715428,8796670,8804735,8888915,8906595,8968910,7805300,8564776,8864431,9333726,8896479,8755259,8433963,8836172,8901191,8470348,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,2730304,2835613,2908362,3038329,3196903,3385578,3557968,3742057,3969429,4174933,4292356,4504678,4658687,4858218,4968501,5301047,5392411,5605917,5856837,6385721,6467259,6685336,6812981,7122074,7486472,7631160,7978701,7928576,8420842,8757300,8878399,9256754,9629531,10193764,10783181,11854283,12365090,12476815,12837408,13987649,14632883,14595811,14561003,15456707,16252741,16493267,17445629,17874778,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,4540628,4821939,4974594,5187718,6005258,6416429,7293045,7986355,7828988,7633486,7426734,7804475,8238365,9016121,8410232,8856648,9467187,9985601,10023015,9855655,10352952,10800399,11631840,12344919,13870308,13117622,12950544,13780736,12333445,12728905,13483977,14252646,16363049,20812445,26039157,28396112,30927020,32678493,34601643,38770674,40905725,42005324,42426880,42734275,42595424,41735188,41205611,41770532,..
World marine bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,..,..,..,..,..,..,..,..,..,..,..,15634,20559,10303,11212,9297,9614,10351,13032,17221,29997,23321,22646,27071,27551,25952,30363,32452,28420,41598,28055,18011,11073,8502,7751,7878,8317,4260,6078,11498,11208,11828,9012,9767,9723,8584,10891,10509,9386,11619,14808,15857,11580,11773,15540,12572,11926,16588,18398,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,16510,23513,27078,28172,29210,34728,39586,46988,64392,58581,71932,83213,73755,76185,89003,97381,99847,98869,85446,102782,111801,114487,114649,109233,114323,111511,105073,108353,111543,117286,119661,125869,131760,147885,155373,165577,181694,181556,190498,217222,220515,216836,222177,227716,242223,250620,272040,285512,..
Angola,..,..,..,..,..,..,..,..,..,..,..,6587,7552,8267,8070,7881,7369,7542,9480,9034,9329,9823,9575,9907,13762,15847,14729,15993,15576,16430,32124,30751,32003,38729,30913,33193,34487,32899,27171,29589,31060,31533,34447,35664,40106,34602,39059,44444,41944,43856,47660,49253,47290,38083,36713,50889,54887,38059,39183,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,304994,289200,314144,329659,314931,329602,314877,332568,350334,337647,317390,321220,342647,365127,330193,351725,394018,357079,339502,329638,342147,358392,367831,409844,423044,428006,481782,486629,456869,459761,456099,440172,485759,504706,519890,552129,528731,531762,483400,505272,536940,515112,535064,554522,566292,532018,521207,550973,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76433,77596,31131,32333,13986,13120,11951,17995,19640,19955,16663,17924,17665,21051,23391,28587,30157,26201,28986,21276,13217,14733,16114,16079,15186,12961,12714,13730,13463,..
Australia,534801,557238,539795,581369,574777,594022,587284,627364,643515,643910,627288,617423,611169,639306,685988,686929,689616,717411,698073,716282,736311,718070,704709,650822,675956,726366,688498,712355,745003,784030,808883,805439,795489,826669,862868,881621,908187,937845,955629,970121,996148,1022425,975045,923345,941971,932514,928023,954631,970207,936006,939384,968700,983092,990802,982008,935534,928436,925059,938534,..
Austria,155499,152584,161653,174794,192813,191850,196808,184380,191453,195379,188843,197084,204605,218550,232571,212814,221110,221939,226822,231723,206266,197414,184783,185845,191797,202135,201842,197154,204464,203086,219076,224663,212866,217714,216556,224358,228853,247254,237071,237094,252375,259995,254864,270020,285624,299810,307123,310191,308505,298115,316654,317787,319414,316725,306158,307587,318390,319345,322827,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,364437,390992,231506,185896,167255,186525,105705,91291,60840,60273,56003,55565,70233,63152,53816,52383,53558,49909,57888,36929,30925,37285,48731,48963,51484,51924,60622,42995,41167,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,8153,10285,25244,37497,38850,39597,39578,39859,40898,37322,42200,48003,46898,15772,16294,16562,15389,16516,17042,18104,17140,23845,29957,27698,28657,29600,31281,32125,31691,31780,33876,35310,35557,36189,46037,47192,47452,48870,46924,54173,58428,52369,78866,87526,87666,88213,84670,90994,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,13379,13379,18587,19983,22985,23092,23699,25634,26212,30830,29417,31019,27523,26607,25593,28710,33470,30764,32735,40651,31554,33057,35501,43925,62272,59153,67598,62145,65093,78985,90106,98140,109659,98709,110637,130259,148647,169934,192360,216845,224709,241660,257478,268880,352119,341716,383154,393997,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,417614,390804,331316,281890,221890,194048,201922,211190,222172,212994,188198,189199,183930,188196,197018,201154,204009,206571,212965,184842,202763,200030,199709,192035,189177,166725,165769,172535,179867,..
Belgium,287360,291445,311110,328104,352684,378706,361671,375032,419663,469339,501609,496291,530617,568883,552402,463621,532599,515845,519764,499160,468996,420051,417480,381533,414500,410766,407971,400462,417424,437387,439767,452477,439724,417145,447816,438414,445838,469670,489503,500021,534076,548996,487889,489532,468864,441390,468908,460179,449738,420332,461272,438844,442837,463839,458466,458320,466491,457815,465566,..
Benin,..,..,..,..,..,..,..,..,..,..,..,218,262,196,207,371,412,379,309,403,549,625,568,712,446,621,592,494,620,676,715,608,757,761,674,797,2348,2669,2100,2663,2650,2348,2423,2212,2345,2197,2290,2446,2242,2488,2565,2641,2604,4315,6356,6136,5816,4992,3317,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,8713,10730,10456,10977,13703,15927,14357,14070,12702,12107,13493,16903,19945,16769,15702,14142,11927,12397,15937,20871,21485,21770,23505,26330,29139,26076,28291,30738,31686,29934,27389,28671,30294,32377,33499,38323,39714,40444,43495,44679,47059,51160,55047,58330,53498,56977,57235,57226,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92319,77624,44985,30816,11105,11086,7812,9844,9763,7805,21813,20214,23150,13115,19595,23001,23863,24894,31195,21183,24582,27710,27862,31450,30015,31660,31551,34684,36124,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,84,131,245,382,618,1689,3209,3040,3374,3793,6409,6388,6447,6794,7250,7431,7478,8060,8004,7734,7638,10257,9622,7943,7231,8931,9237,13459,12409,12823,14747,16775,15373,12137,14955,16400,19383,18633,17305,12351,12635,13293,14544,15300,14458,14285,13519,13326,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,745028,809904,912530,986617,1031477,1144721,1242338,1300224,1383929,1471032,1334628,1354494,1391033,1495079,1562247,1664911,1741374,1766440,1765660,1670413,1677915,1717650,1795794,1905197,1945682,2027756,2124498,2196820,2309030,2355292,2362341,2513351,2623968,2789813,2826377,2971941,3174614,3189660,3000410,3352452,3480723,3483032,3449523,3393341,3292233,3267001,3323519,3150224,3078303
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,1093,1050,916,1050,1050,1136,530,746,1006,1942,1563,1935,2234,1895,1992,1826,2063,2319,2474,2546,2712,3221,3347,3532,3777,4131,4585,3668,3249,2950,2546,2759,3011,1988,2082,33794,32844,34021,16639,6875,7420,8391,6467,5338,6336,4852,6316,5728,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,167711,172858,176886,184029,180972,223970,212040,213859,213753,214940,226091,232918,251988,244458,256848,248632,255945,321517,422172,377919,281105,227671,197339,211225,237961,236917,232130,194066,147013,149964,149918,140780,151248,153459,153229,154831,159699,144722,102368,106921,112948,107556,108813,109726,113997,111397,115622,114209,..
Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18321,18879,19313,24286,24814,25470,26032,24900,25531,28189,29105,29930,30789,31533,30345,31445,32344,35186,38085,39820,43181,53889,56407,61529,..
Cameroon,..,..,..,..,..,..,..,..,..,..,..,4529,4392,4239,4761,5555,4987,5256,5994,5834,6391,8516,9035,8453,8154,8633,8158,7274,8535,8122,8955,8398,8224,8520,8171,8314,8404,7151,6605,7424,7950,7640,6718,7090,7547,7678,12268,12831,13854,14846,14753,14168,14798,15565,16454,15184,14011,15496,16376,..
Canada,878655,890396,919600,934724,1019797,1090025,1148060,1228521,1306416,1406080,1555024,1583583,1673516,1913600,2004900,1782623,1809708,1915429,1905904,2013184,2096303,1978845,1808472,1793341,1915972,1963872,1989929,2055550,2077411,2060151,1977677,1956780,1937101,1943575,2062698,2146089,2174883,2187938,2164077,2219274,2313142,2180291,2249621,2336606,2410008,2138705,2057329,2037975,1924952,1768590,1791766,1856123,1856936,1881451,1901760,1888568,1819837,1887826,1919180,..
Chile,..,..,..,..,..,..,..,..,..,..,..,95533,98093,96832,104977,90649,96410,103067,109599,111046,116341,112821,98014,110954,122155,121844,127657,130404,150976,177555,142745,159769,184397,178742,179479,202128,218869,259341,245935,256902,278166,284753,284450,289251,302423,304842,336003,348643,354016,343012,364660,399209,379590,415700,438216,439147,443924,423721,443220,..
People's Republic of China,..,..,..,..,..,..,..,..,..,..,..,4498484,4781439,4937211,5131958,5956311,6354868,7220467,7911768,7780070,7590061,7380485,7751181,8183401,8954195,8354206,8793632,9392780,9900804,9945135,9790852,10298439,10726534,11568325,12278707,13810225,13061672,12896065,13702417,12236471,12653129,13397110,14179476,16298227,20738753,25977495,28317665,30841560,32590042,34506290,38694475,40814200,41912497,42332852,42632428,42502421,41639868,41110330,41687337,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,141230,134315,125260,144105,138630,146760,161443,166549,163758,165869,167077,162662,175248,179646,186788,189545,200297,193293,207296,219607,231629,214706,237036,254611,255959,265819,279594,268867,247933,265005,269500,273823,262835,254437,266542,254349,265290,298012,262597,264968,304906,264177,324947,327482,299907,310227,326274,312510,..
Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,1979,1906,1924,1649,1452,1492,1631,1108,1057,902,830,964,1013,1184,1043,900,1448,1269,1520,1301,1508,1417,1170,1028,1115,1028,803,457,295,533,643,674,1088,825,875,1155,1107,1611,1577,1288,1582,2956,2705,2339,3078,2734,3132,3149,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,11242,11930,13170,11711,12820,12908,15561,16580,17171,17147,18453,14192,15524,17811,18494,17937,18260,17322,19182,20673,20713,17141,17698,19392,20014,19960,20567,19598,20567,23883,23189,20819,24131,28936,32238,34423,41237,39911,38416,38189,37213,37969,39079,39456,38658,40204,40120,39724,..
Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,9675,11464,10255,12026,13926,13090,8371,9882,8791,9929,8628,9175,12175,4092,7216,7292,7503,7878,7402,7166,7487,7476,7649,7698,8062,9125,10508,9363,13544,13384,13484,12704,10597,11713,9685,10254,8918,11252,20035,18888,19019,21054,26634,27166,27876,17345,29054,22484,..
