TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,43386951,44981100,45678722,45383029,48784365,49221706,49945243,51315319,51926514,53288878,53522591,54386453,55146894,57567511,60147007,60909303,62238875,63433195,64156851,64077353,65247573,65394828,71409534,70815806,72293125,73717049,73697148,73022582,74379830,75534632,76143897,76664645,78506609,79249593,79443251,79380385,79855085,80979787,81029452,83205945,82636854,82150347,84035662,83511492,83558263,84506879,85951400,88308198,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,11267358,11794522,11458338,11112683,11192077,11728253,11585352,11705500,11185824,10770244,10327846,10389826,10095764,10500856,10408124,10406096,10549621,11173805,11461109,10894290,11184613,11360178,12492903,12447531,12625386,13313753,12849039,12426187,12813117,13389213,13081437,13286043,13717229,13487020,13710186,12902832,13603029,13630981,13369528,13661911,13423584,12460955,13518191,13747922,13075063,12643851,12585640,13796812,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,1157797,1234638,1395759,1438293,1485868,1601007,1690835,1735647,1789587,1776948,1870042,1972157,2085766,2245767,2308569,2397587,2448793,2570145,2538200,2552796,2525177,2560004,2605983,2615530,2767553,2864698,2862042,2856520,3030535,3208272,3206494,3362028,3338437,3333845,3440240,3392876,3404894,3371362,3369421,3558972,3501822,3497822,3399031,3263255,3229268,3307579,3410674,3264100,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,9447148,9799509,10138788,9702608,9803137,10294337,10255696,10780311,11225336,10750879,10478714,10364761,10352619,11134628,12372670,12502943,12673710,12109065,11816819,11813234,12657756,12382331,12768994,12302178,12552191,13520562,12997013,12996751,12855041,12750618,13367463,13107830,13525339,13539882,13650288,13555374,12836739,13462585,13279822,14177689,12691109,13266756,13427977,11826382,12349463,12676424,12635191,12384902,..
Africa,..,..,..,..,..,..,..,..,..,..,..,4224916,4335654,4429073,4529221,4661693,4788966,4889321,5031913,5153923,5280446,5393034,5543734,5712251,5908055,6077359,6263196,6461976,6627819,6851312,7145080,7286008,7413285,7545807,7921962,8180574,8370423,8504313,8739566,9015383,9059463,9275776,9506210,9770777,10091639,10382211,10574708,10748048,11069179,11281547,11344905,11699677,11998581,12354421,12679580,12925956,13122338,13614745,13891901,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1951712,1948577,1995876,2014208,2039500,2071091,2080551,2076519,2103332,2139068,2167320,2123658,2149832,2179329,2175417,2128156,2187552,2210314,2209228,2221769,2231294,2219677,2231292,2225923,2277377,2334738,2306944,2363254,2487200,2499763,2475882,2508345,2555020,2610146,2682799,2718735,2816153,2851390,2884625,2973848,2969135,3039626,3136976,3199168,3231260,3271870,3194284,3267593,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,185937,209337,232590,259740,309168,341330,377783,390459,469080,457092,469607,524534,685365,768131,835279,802237,854515,846011,954705,950021,997182,1203432,1320269,1514911,1573526,1709118,1815931,1785435,1837113,1965521,2028778,2195316,2244420,2466041,2695355,2910193,3083767,3063730,3211559,3202397,3268890,3182419,3383863,3399988,3479352,3665479,3623082,3655857,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,588154,682417,718005,734143,2966672,1743440,1832682,1884475,1932198,3893517,4218565,4537965,4846339,5157363,5728083,5771801,5968787,6221577,6287021,6202978,5716047,5612727,9608669,8934063,8937284,8718876,8582026,8438965,8627272,8816998,8918445,8587562,8805853,8640316,7649724,7900140,7642556,7895174,7638733,7958470,8266957,7808759,7617177,7888055,7730350,7806728,8322859,9301845,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,6427970,6591137,6744977,6892743,7177457,7364962,7550692,7759276,7956346,8138058,8312194,8478472,8544150,8727409,8950067,9168305,9369931,9599750,9884480,10095396,10262335,10420627,10560901,10723947,10988589,11162129,11447066,11707190,11959824,12170873,12367389,12625033,12917701,13206045,13218887,13079026,13469509,13829963,14177103,14535695,14877595,14786218,14695737,14687043,14320012,14376114,14484406,14228991,..
