TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,177666516,186117072,195090261,194852837,196705997,205345141,212564115,220318399,226899170,224826557,223459662,221136997,223201742,231572489,235151615,240555324,248006615,256271108,257987085,262394146,265170545,264250961,265843931,267255298,273661238,278250329,281757008,282321200,287728408,294417088,295988798,300943460,310222094,324270654,334100399,342505166,352047930,354980548,350785640,370018138,374798843,379003790,385599188,389565036,393893540,398993576,406810418,416071759,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,58037612,60676230,62515477,61087211,59120653,62355580,64369671,65777657,66632024,64462459,63606772,60806718,60106907,63316539,63084841,62937637,64997390,67731988,66290297,64746366,64909968,65415304,66550175,68329797,69246089,71439406,72388530,72252064,74772042,77430010,75965773,76532511,77639450,79264699,78927136,78859944,79919521,78017970,74071342,77096418,75935210,74711331,76956916,77739643,77574188,77879539,78284412,81764858,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,10773115,11397934,12580668,12474547,12102489,12739148,13187848,13574053,14114555,13611944,13379664,13230199,13452420,14223545,14420094,14733394,15261697,16236732,16896682,18028234,18543060,19092830,19703441,20523998,21493985,22088199,22499274,21795533,22703590,23399191,23328475,23799340,23820693,24163185,24218760,24239275,24468303,23610909,23332584,24138462,24105677,24189295,24400072,24106386,24145407,24242235,24617053,24220274,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,38483933,40324926,42790673,41790238,41109127,43272842,43755174,45213159,47002540,45244759,43678900,42518699,42901659,43917819,45166806,46085344,47066111,47233846,47100206,47827664,48651100,47973582,48047727,47942383,49052929,51044397,50803230,51258238,51259176,51721245,52544337,52348536,53764915,54320503,54563595,54873736,54132326,54228157,51659660,53966386,51683311,51798081,51713867,49651384,50821058,51801613,52731179,52458694,..
Africa,..,..,..,..,..,..,..,..,..,..,..,6641398,6903478,7171733,7336590,7635985,7946713,8207363,8473798,8724084,9088171,9415141,9549524,9718376,10040606,10310962,10494731,10843697,11176071,11540828,12029145,12278413,12452168,12569313,12913140,13478435,13966236,14388773,14667677,15124570,15285591,15655944,16251433,16832203,17382944,18111192,18600443,19231840,19834279,20394219,20819218,21221065,22042629,22889136,23455858,23768806,24182194,24819697,25643059,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,6233472,6475203,6934101,7275846,7440373,7833920,8102749,8436034,8835622,8955186,8830966,8939856,9019567,9302981,9403376,9741909,10173250,10296637,10414978,10434237,10554872,10677811,10935617,11448185,11908367,12558572,13036985,13429527,13581006,13666523,13697853,13912774,14088649,14843747,15334792,15754245,16391834,16796921,16566574,17934680,18478411,18978214,19452652,19511996,19270420,19132139,19124767,18986894,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,1091396,1193286,1399070,1560340,1797048,2027077,2362697,2634384,3181955,3330215,3814666,4203725,4686258,4719830,4949196,5138287,5562364,5866321,6377346,6287765,6629471,7386757,7647357,8291755,8449455,8872695,9167189,9467901,9708511,10077522,10615749,11047194,11319618,12130329,13100217,14068735,15121366,15927556,16658019,17397720,18108904,18910880,19316681,20161476,20596097,20892113,21433749,21728599,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,23769123,25145782,26493587,27758392,30298670,30794309,31967662,33631368,34794901,36397502,36703592,37048996,37488017,38135190,38637351,39887953,40589818,41637239,41820374,44275645,43211718,39071702,36409527,31624394,30465307,28344666,27236121,26549689,26868890,27110055,27385903,26961979,27747994,28315903,28213120,28841475,29477183,30032219,27668603,29776963,30246034,30009310,29296302,29448665,28828290,29576480,30707621,32027628,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,11498577,11839470,12204373,12526058,13094965,13538134,14036931,14676858,15363120,15743238,16286364,16735227,17143145,17769238,18334130,19035838,19617793,20542242,21419309,22544227,23122609,23822608,24497603,25499851,26818467,27794834,28880504,28859305,30102786,31154517,31843678,33006280,34264095,35775303,36648469,37730087,39646410,40582380,42287761,44671966,46428559,47484881,48047148,49339330,50462273,51796556,53862001,55042622,..
