TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,40352949,42761773,45247027,44848722,46084586,47951769,49688489,51791028,52733416,52141529,51975976,51587563,52113052,53650206,54786913,56830078,58836712,61638512,63417202,65954166,66507328,67926518,68597089,69965498,71848074,74721045,75798418,77539761,79761642,82177070,82655228,84874276,86732946,90756326,92874639,95180208,98444971,99061580,97365081,101730010,103481407,104574291,107577727,109481248,112694193,115198474,118126697,121036205,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,17362306,18466398,19347786,19038922,19301511,20166917,20776013,21575855,21447463,20703090,20731530,20363160,20414165,21049148,21239089,21544445,22281336,23324776,23630891,23531689,23178674,23699828,24200466,25141911,25549241,26168655,26679515,27302372,28047197,28549514,28572236,29120825,29624952,30145702,30648735,30832156,31204709,30116365,28918155,29920253,29372465,29173371,30107046,29988976,30853584,31257359,31473483,32197680,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,2166404,2250689,2481820,2524226,2632944,2758204,2940146,3142208,3309238,3318318,3238035,3210901,3319208,3439678,3517864,3670153,3838067,4062791,4340875,4741101,4944588,5125797,5324330,5587332,5876801,6060233,6152381,5959877,6123365,6256348,6324133,6378449,6399135,6453168,6370081,6354700,6341354,6205466,6123049,6222686,6144436,6173430,6189361,6129269,6259998,6299730,6347779,6324842,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,6464012,6831553,7282227,7128485,7402271,7767080,8076540,8482045,8731778,8731671,8604350,8651913,8795729,9047078,9152848,9601952,9988630,10509530,10860414,11255616,11426202,11704457,11880078,11939093,12107568,12478287,12614677,12966622,13302053,13312903,13446921,13594097,13791503,14071758,14124397,14439840,14729023,14420550,14049269,14021258,13943475,13612885,13578814,13762728,14125049,14494105,14760604,14833875,..
Africa,..,..,..,..,..,..,..,..,..,..,..,753197,805877,855754,856991,919985,954571,1017154,1100707,1067563,1158239,1214778,1238122,1267622,1298120,1362525,1364575,1394292,1489269,1530295,1603671,1683751,1770818,1756053,1779551,1909177,1987615,2119140,2120497,2236471,2298919,2401836,2522842,2669813,2777844,2845489,2902725,3059316,3242419,3371743,3681180,3761127,4059499,4402879,4597883,4661788,4847784,4887249,5177004,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,1538857,1665480,1850373,1974395,2073802,2201768,2251352,2411075,2517557,2512659,2533857,2566942,2538421,2558327,2603736,2799873,2846813,2896708,2954769,2998099,3100054,3162685,3309789,3415061,3692553,3995114,4112493,4277323,4188931,4128352,4158928,4197673,4131881,4410821,4559911,4723241,5057989,5363462,5365983,5810733,6138807,6447223,6703686,6840279,6823693,6746884,6802999,6802557,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,280574,319433,371978,422200,505565,612525,732316,882276,993695,1046183,1194107,1359381,1628007,1743440,1804685,1743461,1870463,1939916,2035812,2013850,2056249,2252064,2407082,2560992,2474625,2587629,2625724,2690759,2788939,2960354,3103606,3277149,3345511,3573867,3879417,4107444,4281465,4543393,4824600,4853090,5099397,5426044,5576940,5823991,5797844,5752869,5953456,5907437,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,3109822,3280424,3436134,3593737,4184140,4250973,4275910,4342541,4398649,4477037,4526728,4609798,4636666,4695276,4766538,5006027,5116548,5229188,5402385,7129146,7088207,6333356,5457858,4777309,4585447,4533266,4351551,4792180,4638503,4567494,4737037,4888192,5102557,5455007,5489286,5682030,5928922,6251762,5735929,6062222,6206772,6006642,6030714,6039897,5938915,6032954,6149457,6527144,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,1151011,1194877,1227249,1284875,1360811,1383419,1450807,1555447,1686566,1781429,1843024,1773974,1854523,1927595,2040718,2116352,2293517,2471536,2699248,2882301,3023130,3212221,3464231,3719541,4128892,4496753,4686864,4666390,4841460,4969596,5122185,5291110,5462721,5834260,5922025,5863306,6427464,6776696,7334607,7812443,8463538,9002453,9393561,9731343,10070664,10752811,11380386,11891775,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,574428,638786,699247,761499,845540,860452,948296,944182,996418,943300,940838,988322,1056094,1128290,1159449,1279221,1349483,1449438,1503700,1327182,1450074,1620242,1848757,1739782,1897178,2488952,2184809,2168330,2451928,3659103,3736303,4025249,4561086,5337410,5739519,6278774,6773141,7379166,7586011,8344114,9139851,10067261,10893073,11346205,12215679,12521927,13121076,13700690,..
World marine bunkers,..,..,..,..,..,..,..,..,..,..,..,4581654,4798784,5076489,4745899,4422861,4555015,4558588,4593744,4729102,4630224,4319417,3894000,3645543,3695289,3986877,4240014,4195511,4395980,4393388,4841112,5028195,5400820,5234053,5399580,5572404,5704589,5844203,6020424,6371508,6537568,6205010,6441818,6538347,7181423,7431801,7915543,8385805,8396755,7993902,8604693,8605110,7999961,7983924,8276285,8614030,8842950,9148737,9231861,..
World aviation bunkers,..,..,..,..,..,..,..,..,..,..,..,2370685,2509473,2617971,2517493,2435157,2440845,2661368,2760948,2855386,2839380,2829313,2931050,2957074,3067965,3152585,3464005,3662053,3869380,4065425,3630398,3528205,3644229,3714392,3905345,4054187,4219955,4427061,4574987,4771289,4936918,4847032,5136872,5105441,5515066,5863980,6080448,6255783,6365546,6061833,6397338,6606430,6605522,6717730,6944393,7332946,7649101,8101469,8441341,..
Albania,..,..,..,..,..,..,..,..,..,..,..,10049,10776,10844,11408,11841,13836,14311,15532,17470,20480,11485,11890,12955,18385,14909,13941,14425,15965,13149,9712,7349,5651,7054,8901,8834,8753,6984,10315,19188,20079,21105,24258,26313,31513,32563,26387,28697,31047,31380,30473,31982,30691,33481,34733,34538,34685,34657,34670,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,37349,37035,41806,46091,51190,57787,63680,72866,79447,87323,95372,99755,107036,114906,172655,175169,177154,177670,181374,223786,238941,238875,241631,221825,216149,214827,216595,222322,237287,241730,242970,275988,315917,314021,347248,369053,394453,413018,430764,446526,482194,542965,564707,609938,651054,635507,630061,640931,..
Angola,..,..,..,..,..,..,..,..,..,..,..,14043,23540,19880,17860,14972,15117,9005,18306,14521,13761,12059,11841,10739,9845,14390,14224,14442,17188,18009,14093,17337,16382,16739,21219,14832,13699,14565,11527,16014,14869,16667,20476,38046,48348,34646,45693,54103,72333,80031,90154,99800,93712,106509,110023,110372,109038,92484,96316,..
