"MODEL","SCENARIO","REGION","VARIABLE","UNIT","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"IEA","Reference","BRA","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,156588,159038,158825,158985,156614,155079,157169,154760,159107,163954,164443,165061,178684,193795,198665,196839,208305,201482,199126,182718,183618,183101,181001,192761,187048,190118,197718,198028,203462,187623,196673,214382,233540,247562,256797,272589,295473,319222,315773,339196,320624,324829,337811,346371,358100,356522,362464,370358,0,
"IEA","Reference","CAN","CO2_fuel_Bio","kt-CO2",19025,19175,19083,19104,18914,17829,18493,21279,25112,27773,35256,35756,35675,36649,36243,29179,29675,29997,32473,33347,35866,34172,33798,37291,37389,39747,41554,41985,41865,40370,50645,50571,50908,51125,57995,59810,56673,56537,59672,62721,63662,59234,64763,63646,68689,66738,63955,64345,60122,57967,58485,58632,59224,61943,63233,62502,56549,58981,57956,0,
"IEA","Reference","CHN","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,723554,741532,758652,774479,788253,800563,811552,822485,833530,844050,853706,863549,872337,877800,884346,894314,904225,914416,927398,940035,949149,954498,959446,959884,958509,957236,958951,948162,943974,926578,888302,875976,844717,806636,780195,770360,713268,658862,630516,587730,550944,518498,487978,489772,489057,483329,493692,500285,0,
"IEA","Reference","CIS","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,94513,93419,91341,92763,89919,90138,88278,85106,85434,86309,88497,91122,87840,93201,94920,88279,94412,88692,81548,62827,59450,57092,56545,37714,36288,34218,30183,26404,32163,27629,27205,26324,26212,25936,25469,27287,33450,31646,29620,32288,33313,34042,34964,33629,34426,37925,38141,39050,0,
"IEA","Reference","IND","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,438902,449015,459312,469870,480736,491888,503304,514965,526838,534005,541267,548606,556043,563592,571242,579007,586875,594861,602960,611174,619504,627946,631181,634426,640571,646574,653110,659625,670989,680530,693284,706675,720293,733623,728244,703600,737153,772113,807769,845154,883399,870329,855463,838541,819552,856532,847744,845344,0,
"IEA","Reference","JPN","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17695,18642,20151,20825,21127,22111,23587,24897,21352,21462,21056,20125,20424,21218,21299,22054,20445,21375,22008,20168,23801,24732,26439,31288,32149,34966,32500,30314,36436,35635,35175,37856,37908,39200,35254,39785,41663,0,
"IEA","Reference","TUR","CO2_fuel_Bio","kt-CO2",27573,27905,27873,27380,27648,27535,27873,28032,27990,27854,28009,27193,29295,30259,30833,31984,32946,33735,34933,36304,36020,36217,37169,37778,37187,36332,37011,37015,37166,37152,33793,33813,33796,33512,33475,33137,33031,32933,32740,31857,30461,29324,28142,27028,26006,24986,24153,23494,22454,21645,21039,16803,16773,17099,15631,14139,13371,12740,9751,0,
"IEA","Reference","USA","CO2_fuel_Bio","kt-CO2",151776,148900,149549,152213,153737,153403,157307,153970,163049,165503,164490,164704,172851,175862,177134,172428,197123,211492,234424,247573,255559,257563,261271,277601,310802,305325,311950,343145,339594,323481,270405,277001,309355,276475,281453,292639,300586,290855,298482,284896,291393,258384,253658,272898,290038,303523,306579,311005,322534,312600,338823,347267,357379,385950,396980,378537,374073,374411,403998,0,
"IEA","Reference","XAF","CO2_fuel_Bio","kt-CO2",0,0,0,0,0,0,0,0,0,0,0,485541,496687,506691,517598,531919,542079,553733,566144,578401,593016,606482,622309,637455,655794,672368,690828,709402,728511,748251,791888,810203,824355,836846,879277,909127,929256,945216,971994,1000172,1011871,1028551,1051635,1080320,1113189,1142178,1170919,1184998,1221339,1253773,1281399,1317464,1342134,1383818,1404846,1432407,1460966,1488492,1511118,0,
"IEA","Reference","XE25","CO2_fuel_Bio","kt-CO2",45426,44955,44726,44939,44476,47608,47250,46866,45977,47634,106814,107669,108824,111936,113133,111218,109399,108650,112485,117480,119580,123700,123895,132835,141467,148466,148334,151744,155489,172117,194451,201929,204209,219278,218870,226278,235869,243085,247327,247595,255946,261699,271399,303703,316194,350022,375199,405001,435795,454162,499994,482842,525849,538680,525680,545002,553222,566613,570941,0,
